Cruise,Station,Cast,pressure_db,depth_m,temperature_degC,practical_salinity_psu,absolute_salinity_psu,potential_temp_degC,conservative_temp_degC,in_situ_density_kgpm3,potential_density_kgpm3,oxygen_V,beam_attenuation_pm,beam_transmission_percent,fluorescence_mgpm3,latitude,longitude
RC0078,S1,C1,53.458,53,9.7638,29.967,30.11069517917178,9.758137396674371,9.84023190102322,1023.1993910220459,1022.9561449363368,2.1842,0.5274,87.6464,1.8169,47.98458,-122.61871
RC0078,S1,C1,54.46,54,9.7575,29.9829,30.126691769294297,9.751732223769103,9.83350920920497,1023.2172945644803,1022.9694949060839,2.1829,0.5275,87.6458,1.7533,47.98458,-122.61869
RC0078,S1,C1,55.474,55,9.7453,30.0118,30.155750979056208,9.739427215397393,9.820623391883016,1023.2462733906333,1022.9938640629288,2.1818,0.5394,87.3863,1.8209,47.98458,-122.61866
RC0078,S1,C1,56.477,56,9.7314,30.0445,30.188628229935357,9.725423868278671,9.805963384666438,1023.2784197621505,1023.0214502652668,2.1786,0.5442,87.2803,1.8117,47.98456,-122.61866
RC0078,S1,C1,57.491,57,9.7201,30.0706,30.214874087505656,9.714018887055751,9.79403361261558,1023.3050838286708,1023.0435044664514,2.1729,0.5632,86.8674,1.8822,47.98456,-122.61864
RC0078,S1,C1,58.499,58,9.7051,30.1061,30.25056496478353,9.698915442057961,9.778220135945197,1023.3396001623336,1023.0734376841187,2.1664,0.5729,86.6553,1.8906,47.98456,-122.61862
RC0078,S1,C1,59.506,59,9.703,30.1113,30.2558104501124,9.696709088312794,9.775909924429763,1023.3485595017004,1023.0778213532615,2.1599,0.5757,86.596,1.8449,47.98454,-122.61861
RC0078,S1,C1,60.516,60,9.6978,30.1233,30.267888646941252,9.691403226493069,9.770363137673053,1023.3632994058758,1023.0879710695481,2.1545,0.5842,86.411,1.8898,47.98454,-122.6186
RC0078,S1,C1,61.524,61,9.6935,30.1348,30.27946441909006,9.68699723365123,9.765730697728909,1023.3775000419139,1023.0975916815348,2.1505,0.5744,86.6239,1.9088,47.98454,-122.61858
RC0078,S1,C1,62.533,62,9.6933,30.1345,30.279183568572165,9.686690312622389,9.765427013653385,1023.3818996876661,1023.097406721184,2.1471,0.5887,86.3155,1.8958,47.98452,-122.61856
RC0078,S1,C1,63.545,63,9.695,30.1311,30.275787896742226,9.688282444111806,9.767087913907854,1023.3836069916609,1023.0945170630339,2.144,0.607,85.9215,1.8783,47.98452,-122.61856
RC0078,S1,C1,64.55,64,9.6854,30.1547,30.29952174834158,9.678578211941097,9.756915102972643,1023.4080215788855,1023.1143639713716,2.1435,0.5867,86.3573,1.85,47.98452,-122.61854
RC0078,S1,C1,65.562,65,9.6762,30.1768,30.321748566270806,9.669273247365757,9.74717047803317,1023.4312408497012,1023.1329835773793,2.1422,0.5936,86.2095,1.8797,47.9845,-122.61852
RC0078,S1,C1,66.567,66,9.6674,30.197,30.342066147634675,9.660369072922828,9.73786238581164,1023.4528904516798,1023.1500649068316,2.1387,0.5979,86.1176,1.9117,47.9845,-122.61851
RC0078,S1,C1,67.574,67,9.6623,30.2083,30.353441035830468,9.655163751579828,9.732429905612143,1023.467057398024,1023.1596553831014,2.1343,0.5886,86.3167,1.84,47.9845,-122.6185
RC0078,S1,C1,68.588,68,9.6591,30.2151,30.36029445664041,9.651857193159193,9.728985637203932,1023.4774636070707,1023.165453862881,2.13,0.5953,86.173,1.8348,47.98449,-122.61849
RC0078,S1,C1,69.593,69,9.6577,30.204,30.349161674432104,9.65035251673673,9.727662791815172,1023.4736511677412,1023.1570673794528,2.1272,0.6,86.0705,1.8449,47.98448,-122.61848
RC0078,S1,C1,70.605,70,9.6544,30.2254,30.370685240840388,9.646944728313853,9.723865282913021,1023.4953960232557,1023.1742218437978,2.1246,0.5986,86.1024,1.8148,47.98448,-122.61846
RC0078,S1,C1,71.612,71,9.6463,30.2432,30.38859142747156,9.638740430105441,9.715303773535398,1023.515081373885,1023.1893297106261,2.1226,0.6095,85.8675,1.8318,47.98448,-122.61845
RC0078,S1,C1,72.618,72,9.6365,30.2637,30.409210595848535,9.628836936002344,9.704986533395845,1023.5371261183702,1023.2068002375855,2.1198,0.5929,86.2241,1.8908,47.98446,-122.61844
RC0078,S1,C1,73.631,73,9.6308,30.2763,30.42189195030483,9.623031358434734,9.698928626000187,1023.5524239213772,1023.2174942620653,2.1166,0.6002,86.0681,1.807,47.98446,-122.61842
RC0078,S1,C1,74.638,74,9.6286,30.281,30.42663520422112,9.620725356450732,9.696527687398913,1023.5610101048942,1023.2215052255696,2.1129,0.586,86.3726,1.9271,47.98446,-122.61842
RC0078,S1,C1,75.649,75,9.6272,30.2839,30.42956988448224,9.6192186824924,9.69496193623728,1023.5680910580378,1023.2239931578108,2.1092,0.5845,86.404,1.8872,47.98444,-122.61841
RC0078,S1,C1,76.657,76,9.618,30.3034,30.44919019330273,9.609914949958268,9.685266280173558,1023.589273970515,1023.2405931937426,2.1068,0.584,86.4172,1.8816,47.98444,-122.6184
