cruise,exp,Samp_ID,spike_conc,Local_Date,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,Lat_N,Long_W
RC104,UKG1,RC104_UKG1_0nM_C,0nM,9/3/23,1.5,15:27,15:55,16:18,,
RC104,UKG1,RC104_UKG1_10nM_A,10nM,9/3/23,1.5,15:57,16:29,16:39,,
RC104,UKG1,RC104_UKG1_10nM_B,10nM,9/3/23,1.5,15:57,16:29,16:42,,
RC104,UKG1,RC104_UKG1_10nM_C,10nM,9/3/23,1.5,15:57,16:29,16:47,,
RC104,UKG1,RC104_UKG1_100nM_A,100nM,9/3/23,1.5,15:57,16:33,16:54,,
RC104,UKG1,RC104_UKG1_100nM_B,100nM,9/3/23,1.5,15:57,16:32,16:46,,
RC104,UKG1,RC104_UKG1_100nM_C,100nM,9/3/23,1.5,15:57,16:32,16:48,,
RC104,UKG1,RC104_UKG1_250nM_A,250nM,9/3/23,1.5,16:25,16:52,17:15,,
RC104,UKG1,RC104_UKG1_250nM_B,250nM,9/3/23,1.5,16:25,16:52,17:08,,
RC104,UKG1,RC104_UKG1_250nM_C,250nM,9/3/23,1.5,16:25,16:52,17:18,,
RC104,UKG1,RC104_UKG1_500nM_A,500nM,9/3/23,1.5,16:25,16:52,17:17,,
RC104,UKG1,RC104_UKG1_500nM_B,500nM,9/3/23,1.5,16:25,16:52,17:14,,
RC104,UKG1,RC104_UKG1_500nM_C,500nM,9/3/23,1.5,16:25,16:52,17:12,,
RC104,UKG1,RC104_UKG1_1000nM_A,1000nM,9/3/23,1.5,16:58,17:25,17:38,,
RC104,UKG1,RC104_UKG1_1000nM_B,1000nM,9/3/23,1.5,16:58,17:29,17:43,,
RC104,UKG1,RC104_UKG1_1000nM_C,1000nM,9/3/23,1.5,16:58,17:25,17:46,,
RC104,UKG1,RC104_UKG1_3000nM_A,3000nM,9/3/23,1.5,16:58,17:23,17:45,,
RC104,UKG1,RC104_UKG1_3000nM_B,3000nM,9/3/23,1.5,16:58,17:25,17:37,,
RC104,UKG1,RC104_UKG1_3000nM_C,3000nM,9/3/23,1.5,16:58,17:25,17:42,,
RC104,UKG1,RC104_UKG1_250nM_Blk,250nM,9/3/23,,,,,,
RC104,UKG1,RC104_UKG1_500nM_Blk,500nM,9/3/23,,,,,,
RC104,UKG1,RC104_UKG1_1000nM_Blk,1000nM,9/3/23,,,,,,
RC104,UKG1,RC104_UKG1_3000nM_Blk,3000nM,9/3/23,,,,,,
