time,lat,lon,depth,Station,Cast,RosPos,SiO4,NO3_plus_NO2,TN,TON,PO4,TP,T_OP,TOC,NH4,NO2
2019-04-13T07:08:50.000Z,31.091,-158.001,121,2,2,9,2.9855525897852226,0.5801486718378909,4.675507416691291,4.0953587448534,0.1028957812066413,0.23740475512581938,0.13450897391917807,,0.06607583158002457,0.11218396272704122
2019-04-13T07:09:27.000Z,31.091,-158.001,117.2,2,2,10,2.902988717926135,0.4526506297679388,4.6062197243227825,4.153569094554844,0.09453115372257101,0.23452611132537052,0.1399949576027995,,0.06543912656479951,0.09181130597742297
2019-04-13T07:10:10.000Z,31.091,-158.001,110,2,2,11,2.806992545873053,0.29648181844205207,4.533891192790765,4.237409374348713,0.0811151602903284,0.22632364366231553,0.1452084833719871,,0.06982531666968336,0.06362375982600091
2019-04-13T07:10:53.000Z,31.091,-158.001,105.9,2,2,12,2.581150805278022,0.11302985738238121,4.376853570275305,4.263823712892924,0.06100746487082956,0.21418665899015285,0.1531791941193233,,0.045984251099588855,0.023620628026703262
2019-04-13T07:11:34.000Z,31.091,-158.001,99.9,2,2,13,2.5490326830363816,0.1393829516440405,4.41046594328388,4.271082991639839,0.051622128855214486,0.2001212516496193,0.1484991227944048,,0.03890975093042134,0.018430368207493837
2019-04-13T07:12:13.000Z,31.091,-158.001,93.9,2,2,14,2.5473014087891555,0.08890963065182687,4.349920423398517,4.26101079274669,0.061192138464633714,0.2164095499557504,0.15521741149111667,,0.036504420872904376,0.01981939467876519
2019-04-13T07:12:54.000Z,31.091,-158.001,89.5,2,2,15,2.4897514648468846,0.04409886458942762,4.278895108650861,4.2347962440614335,0.053544479050626585,0.21253060522078265,0.15898612617015606,,0.01860593544491056,0.011003073720281082
2019-04-13T07:13:36.000Z,31.091,-158.001,84.5,2,2,16,2.462170475115216,0.013928058496720868,4.314516367423386,4.300588308926665,0.056423214483455976,0.22210015082768017,0.1656769363442242,,0.020657540493969145,0.00418069258208387
2019-04-13T07:14:34.000Z,31.091,-158.001,77,2,2,17,2.3792185590283017,0.008161396387418607,4.196140842843958,4.18797944645654,0.049584859936414094,0.20189962917781235,0.15231476924139825,,0.011106965265592999,0.003063983177070041
2019-04-13T07:17:05.000Z,31.091,-158.001,26.4,2,2,19,2.1073786526578355,0.0109493766058411,4.411388815060862,4.400439438455021,0.04762406089631709,0.21119131341401015,0.16356725251769305,,0.01605911538401026,0.007733219342328392
2019-04-13T11:55:00.000Z,31.044031666666665,-158.00024333333334,7,Underway12,,,3.2154734884169125,0.0024317377398066385,4.103064647121624,4.100632909381817,0.06646040824056232,0.2142561809868243,0.147795772746262,62.759567513975945,0.006677852348993291,0.0012925053504164788
