time,lat,lon,depth,Nitrate_Nitrite,SRP,Nitrate_Nitrite_below_detection_flag
2019-04-14T11:19:32.000Z,35.2638705057748,-158,6,,,1
2019-04-14T11:22:33.000Z,35.2717161635724,-158,6,,,1
2019-04-14T11:25:26.000Z,35.2795326629851,-158,6,,,1
2019-04-14T11:28:27.000Z,35.2872951703699,-158,6,,,1
2019-04-14T11:31:29.000Z,35.29505386033,-158,6,,,1
2019-04-14T11:40:33.000Z,35.318357810956,-158,6,,,1
2019-04-14T11:43:26.000Z,35.326025022409,-158,6,,,1
2019-04-14T18:37:26.000Z,36.3880117997322,-158,6,,,1
2019-04-14T18:40:27.000Z,36.3959319523193,-158,6,,,1
2019-04-14T21:43:29.000Z,36.8715343026798,-158,6,,,1
2019-04-14T21:46:30.000Z,36.879548750301,-158,6,,,1
2019-04-14T22:28:33.000Z,36.9105416367949,-158,6,,,1
2019-04-14T22:31:26.000Z,36.9105828588497,-158,6,,,1
2019-04-14T22:34:27.000Z,36.9106283188664,-158,6,,,1
2019-04-14T22:37:29.000Z,36.9106742759609,-158,6,,,1
2019-04-14T22:43:32.000Z,36.9106983119161,-158,6,,,1
2019-04-14T22:46:33.000Z,36.9107435207851,-158,6,,,1
2019-04-14T22:49:26.000Z,36.9107081445062,-158,6,,,1
2019-04-14T22:55:29.000Z,36.9106691898321,-158,6,,,1
2019-04-14T22:58:30.000Z,36.9106543327668,-158,6,,,1
2019-04-14T23:01:32.000Z,36.91068983624,-158,6,,,1
2019-04-14T23:04:33.000Z,36.9107534309206,-158,6,,,1
2019-04-14T23:07:26.000Z,36.9107853431108,-158,6,,,1
2019-04-14T23:10:27.000Z,36.9107681467568,-158,6,,,1
2019-04-14T23:13:29.000Z,36.9107493733089,-158,6,,,1
2019-04-14T23:16:30.000Z,36.9107850832639,-158,6,,,1
2019-04-14T23:19:32.000Z,36.9107873038367,-158,6,,,1
2019-04-14T23:22:33.000Z,36.9107683663178,-158,6,,,1
2019-04-14T23:25:26.000Z,36.9107396875922,-158,6,,,1
2019-04-14T23:31:29.000Z,36.9106367223619,-158,6,,,1
2019-04-14T23:34:30.000Z,36.9105460733846,-158,6,,,1
2019-04-14T23:37:32.000Z,36.9105016750486,-158,6,,,1
2019-04-14T23:40:33.000Z,36.9104314885825,-158,6,,,1
2019-04-14T23:43:26.000Z,36.910357018147,-158,6,,,1
2019-04-14T23:46:27.000Z,36.9104015199207,-158,6,,,1
2019-04-14T23:49:29.000Z,36.9104971284207,-158,6,,,1
