Rep,Compound,Area,Cruise
220623_Smp_MQBlk_1,"Cytosine, 13C2, 15N3",128750840,KM1906
220623_Smp_MQBlk_2,"Cytosine, 13C2, 15N3",123207056,KM1906
220623_Smp_MQBlk_3,"Cytosine, 13C2, 15N3",79789952,KM1906
220623_Smp_MQBlk_4,"Cytosine, 13C2, 15N3",78002752,KM1906
220623_Smp_MQBlk_5,"Cytosine, 13C2, 15N3",102849264,KM1906
220623_Smp_MQBlk_6,"Cytosine, 13C2, 15N3",113879304,KM1906
220623_Smp_MU1_A,"Cytosine, 13C2, 15N3",112829672,KM1906
220623_Smp_MU1_B,"Cytosine, 13C2, 15N3",85338456,KM1906
220623_Smp_MU1_C,"Cytosine, 13C2, 15N3",73870424,KM1906
220623_Smp_MU10_A,"Cytosine, 13C2, 15N3",83594600,KM1906
220623_Smp_MU10_B,"Cytosine, 13C2, 15N3",102310504,KM1906
220623_Smp_MU10_C,"Cytosine, 13C2, 15N3",89740352,KM1906
220623_Smp_MU11_A,"Cytosine, 13C2, 15N3",98034424,KM1906
220623_Smp_MU11_B,"Cytosine, 13C2, 15N3",114262520,KM1906
220623_Smp_MU11_C,"Cytosine, 13C2, 15N3",110103856,KM1906
220623_Smp_MU12_A,"Cytosine, 13C2, 15N3",119849776,KM1906
220623_Smp_MU12_B,"Cytosine, 13C2, 15N3",73077440,KM1906
220623_Smp_MU12_C,"Cytosine, 13C2, 15N3",106127720,KM1906
220623_Smp_MU13_A,"Cytosine, 13C2, 15N3",87787992,KM1906
220623_Smp_MU13_B,"Cytosine, 13C2, 15N3",95054008,KM1906
220623_Smp_MU13_C,"Cytosine, 13C2, 15N3",90005592,KM1906
220623_Smp_MU14_A,"Cytosine, 13C2, 15N3",119958904,KM1906
220623_Smp_MU14_B,"Cytosine, 13C2, 15N3",106549632,KM1906
220623_Smp_MU14_C,"Cytosine, 13C2, 15N3",60801068,KM1906
220623_Smp_MU15_A,"Cytosine, 13C2, 15N3",50901668,KM1906
220623_Smp_MU15_B,"Cytosine, 13C2, 15N3",88776600,KM1906
220623_Smp_MU15_C,"Cytosine, 13C2, 15N3",56903068,KM1906
220623_Smp_MU16_A,"Cytosine, 13C2, 15N3",121180024,KM1906
220623_Smp_MU16_B,"Cytosine, 13C2, 15N3",83299720,KM1906
220623_Smp_MU16_C,"Cytosine, 13C2, 15N3",99703072,KM1906
220623_Smp_MU17_A,"Cytosine, 13C2, 15N3",58698712,KM1906
220623_Smp_MU17_B,"Cytosine, 13C2, 15N3",93524880,KM1906
220623_Smp_MU2_A,"Cytosine, 13C2, 15N3",93895616,KM1906
220623_Smp_MU2_B,"Cytosine, 13C2, 15N3",79523656,KM1906
220623_Smp_MU2_C,"Cytosine, 13C2, 15N3",110259064,KM1906
220623_Smp_MU3_A,"Cytosine, 13C2, 15N3",75995264,KM1906
220623_Smp_MU3_B,"Cytosine, 13C2, 15N3",98792848,KM1906
220623_Smp_MU3_C,"Cytosine, 13C2, 15N3",123544336,KM1906
220623_Smp_MU4_A,"Cytosine, 13C2, 15N3",92382856,KM1906
220623_Smp_MU4_B,"Cytosine, 13C2, 15N3",107641040,KM1906
220623_Smp_MU4_C,"Cytosine, 13C2, 15N3",105858296,KM1906
220623_Smp_MU5_A,"Cytosine, 13C2, 15N3",84264264,KM1906
220623_Smp_MU5_B,"Cytosine, 13C2, 15N3",78480856,KM1906
220623_Smp_MU5_C,"Cytosine, 13C2, 15N3",96591720,KM1906
220623_Smp_MU6_A,"Cytosine, 13C2, 15N3",84429328,KM1906
220623_Smp_MU6_B,"Cytosine, 13C2, 15N3",132876208,KM1906
220623_Smp_MU6_C,"Cytosine, 13C2, 15N3",122346688,KM1906
220623_Smp_MU7_A,"Cytosine, 13C2, 15N3",92699856,KM1906
220623_Smp_MU7_B,"Cytosine, 13C2, 15N3",112469296,KM1906
220623_Smp_MU7_C,"Cytosine, 13C2, 15N3",82426992,KM1906
220623_Smp_MU8_A,"Cytosine, 13C2, 15N3",105108608,KM1906
220623_Smp_MU8_B,"Cytosine, 13C2, 15N3",125543832,KM1906
220623_Smp_MU8_C,"Cytosine, 13C2, 15N3",76428568,KM1906
220623_Smp_MU9_A,"Cytosine, 13C2, 15N3",112777552,KM1906
220623_Smp_MU9_B,"Cytosine, 13C2, 15N3",50238380,KM1906
220623_Smp_MU9_C,"Cytosine, 13C2, 15N3",105131784,KM1906
220623_Std_4uMStdsMix1InH2O_1,"DL-Alanine, 2H3",NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,"DL-Alanine, 2H3",NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,"DL-Alanine, 2H3",18064874,KM1906
220623_Std_4uMStdsMix1InMatrix_2,"DL-Alanine, 2H3",20691172,KM1906
220623_Std_4uMStdsMix2InH2O_1,"DL-Alanine, 2H3",NA,KM1906
220623_Std_4uMStdsMix2InH2O_2,"DL-Alanine, 2H3",NA,KM1906
220623_Std_4uMStdsMix2InMatrix_1,"DL-Alanine, 2H3",22543002,KM1906
220623_Std_4uMStdsMix2InMatrix_2,"DL-Alanine, 2H3",25279980,KM1906
220623_Std_H2OinMatrix_1,"DL-Alanine, 2H3",23627906,KM1906
220623_Std_H2OinMatrix_2,"DL-Alanine, 2H3",26654206,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,"DL-Alanine, 2H3",36217452,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,"DL-Alanine, 2H3",36493300,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,"DL-Alanine, 2H3",41433400,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,"DL-Alanine, 2H3",16016951,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,"DL-Alanine, 2H3",20089220,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,"DL-Alanine, 2H3",21408456,KM1906
