Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av
220623_Smp_MU2_B,MU2,B,KM1906,Dimethylsulfonioacetate,5004493,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,Dimethylsulfonioacetate,6712270,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,Dimethylsulfonioacetate,6062338,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Dimethylsulfonioacetate,6844422,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,Dimethylsulfonioacetate,9605039,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,Dimethylsulfonioacetate,7251128,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,Dimethylsulfonioacetate,7858063,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,Dimethylsulfonioacetate,7248350,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,Dimethylsulfonioacetate,7365757,NA,NA,NA
220623_Smp_MU5_B,MU5,B,KM1906,Dimethylsulfonioacetate,7346899,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,Dimethylsulfonioacetate,10326469,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,Dimethylsulfonioacetate,10652256,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,Dimethylsulfonioacetate,11817911,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,Dimethylsulfonioacetate,11006734,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,Dimethylsulfonioacetate,10668275,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,Dimethylsulfonioacetate,14819323,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,Dimethylsulfonioacetate,13252988,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,Dimethylsulfonioacetate,15270718,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,Dimethylsulfonioacetate,17356734,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,Dimethylsulfonioacetate,15016126,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,Dimethylsulfonioacetate,11327660,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,Dimethylsulfonioacetate,13441413,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,Dimethylsulfonioacetate,13019795,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,Dimethylsulfoniopropionate,53230036,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,Dimethylsulfoniopropionate,30118760,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,Dimethylsulfoniopropionate,30392690,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,Dimethylsulfoniopropionate,36314216,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,Dimethylsulfoniopropionate,106277144,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,Dimethylsulfoniopropionate,194583344,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,Dimethylsulfoniopropionate,212131216,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,Dimethylsulfoniopropionate,334746304,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,Dimethylsulfoniopropionate,259693456,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Dimethylsulfoniopropionate,252951456,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Dimethylsulfoniopropionate,69800856,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,Dimethylsulfoniopropionate,230231488,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,Dimethylsulfoniopropionate,63226596,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,Dimethylsulfoniopropionate,63644124,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,Dimethylsulfoniopropionate,15293295,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,Dimethylsulfoniopropionate,155383296,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,Dimethylsulfoniopropionate,135657664,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,Dimethylsulfoniopropionate,75310424,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,Dimethylsulfoniopropionate,52840340,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,Dimethylsulfoniopropionate,135429136,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,Dimethylsulfoniopropionate,82766016,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,Dimethylsulfoniopropionate,112981432,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,Dimethylsulfoniopropionate,116396048,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,Dimethylsulfoniopropionate,49899960,NA,NA,NA
220623_Smp_MU17_A,MU17,A,KM1906,Dimethylsulfoniopropionate,114782488,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,Dimethylsulfoniopropionate,169684960,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Dimethylsulfoniopropionate,36428432,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,Dimethylsulfoniopropionate,29112318,NA,NA,NA
