Rep,SampID,replicate,Batch,SizeFrac,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Glycine betaine,28161409024,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Dimethylsulfonioacetate,4700138496,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,beta-Alaninebetaine,13495821312,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Dimethylsulfoniopropionate,16582791168,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Homarine,7932341760,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Trigonelline,5067076096,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Proline betaine,538851200,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Betonicine,641761344,NA,NA,NA
170706_Smp_S6E37D15_A,S6E37D15,A,G2,full,Gonyol,985973888,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Glycine betaine,24288196608,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Dimethylsulfonioacetate,2752750080,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,beta-Alaninebetaine,10232329216,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Dimethylsulfoniopropionate,9886022656,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Homarine,5852804096,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Trigonelline,3722513920,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Proline betaine,393226048,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Betonicine,414218720,NA,NA,NA
170706_Smp_S6E37D15_B,S6E37D15,B,G2,full,Gonyol,1312005504,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Glycine betaine,23725473792,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Dimethylsulfonioacetate,1904136192,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,beta-Alaninebetaine,9242299392,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Dimethylsulfoniopropionate,3538414848,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Homarine,5058710016,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Trigonelline,3427937280,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Proline betaine,349627616,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Betonicine,343862400,NA,NA,NA
170706_Smp_S6E37D15_C,S6E37D15,C,G2,full,Gonyol,1429886720,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Glycine betaine,5343512576,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Dimethylsulfonioacetate,411832096,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,beta-Alaninebetaine,2538446080,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Dimethylsulfoniopropionate,231296416,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Homarine,1304066432,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Trigonelline,262425376,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Proline betaine,130811848,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Betonicine,181767280,NA,NA,NA
170706_Smp_S6E37D15_Ds,S6E37D15,Ds,G2,small,Gonyol,40312904,NA,NA,NA
