MF,FinalBMIS,Orig_RSD,Cruise,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU4_A,220623,Smp,MU4,A,1223106,1223106
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU4_B,220623,Smp,MU4,B,1409376,1409376
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU4_C,220623,Smp,MU4,C,1389814,1389814
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU5_A,220623,Smp,MU5,A,1050522,1050522
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU5_B,220623,Smp,MU5,B,1199075,1199075
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU5_C,220623,Smp,MU5,C,1502540,1502540
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU6_A,220623,Smp,MU6,A,1045117,1045117
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU6_B,220623,Smp,MU6,B,1673637,1673637
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU6_C,220623,Smp,MU6,C,1416361,1416361
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU7_A,220623,Smp,MU7,A,1326077,1326077
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU7_B,220623,Smp,MU7,B,1864491,1864491
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU7_C,220623,Smp,MU7,C,2220111,2220111
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU8_A,220623,Smp,MU8,A,3594199,3594199
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU8_B,220623,Smp,MU8,B,1644412,1644412
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU8_C,220623,Smp,MU8,C,1495459,1495459
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU9_A,220623,Smp,MU9,A,1140872,1140872
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU9_B,220623,Smp,MU9,B,1086742,1086742
Betonicine,Inj_vol,0.1126184598037543,KM1906,0.1126184598037543,220623_Smp_MU9_C,220623,Smp,MU9,C,1219686,1219686
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full1,240102,Poo,PooKinDissSept23,Full1,61166536,61166536
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full2,240102,Poo,PooKinDissSept23,Full2,64691768,64691768
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full3,240102,Poo,PooKinDissSept23,Full3,65537136,65537136
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Full4,240102,Poo,PooKinDissSept23,Full4,65805444,65805444
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Half1,240102,Poo,PooKinDissSept23,Half1,33580308,67160616
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Half2,240102,Poo,PooKinDissSept23,Half2,34210196,68420392
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Half3,240102,Poo,PooKinDissSept23,Half3,33156692,66313384
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Poo_PooKinDissSept23_Half4,240102,Poo,PooKinDissSept23,Half4,35341812,70683624
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix1_Kin_A,240102,Smp,G5,Mix1,12229530,12229530
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix1_Kin_B,240102,Smp,G5,Mix1,18042386,18042386
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix1_Kin_C,240102,Smp,G5,Mix1,16901908,16901908
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix1iN_Kin_A,240102,Smp,G5,Mix1iN,6111834,6111834
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix1iN_Kin_B,240102,Smp,G5,Mix1iN,12458781,12458781
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix1iN_Kin_C,240102,Smp,G5,Mix1iN,10861718,10861718
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix2_Kin_A,240102,Smp,G5,Mix2,7161379,7161379
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix2_Kin_B,240102,Smp,G5,Mix2,9177548,9177548
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix2_Kin_C,240102,Smp,G5,Mix2,10775331,10775331
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix2iN_Kin_A,240102,Smp,G5,Mix2iN,9504476,9504476
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix2iN_Kin_B,240102,Smp,G5,Mix2iN,14350251,14350251
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_Mix2iN_Kin_C,240102,Smp,G5,Mix2iN,20882578,20882578
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_UKG1_A,240102,Smp,G5,UKG1,6391589,6391589
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_UKG1_B,240102,Smp,G5,UKG1,6299373,6299373
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_G5_UKG1_C,240102,Smp,G5,UKG1,4181409,4181409
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk1_A,240102,Smp,LabBlk1,A,1341059,1341059
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk1_B,240102,Smp,LabBlk1,B,1009166,1009166
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk1_C,240102,Smp,LabBlk1,C,1264094,1264094
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk2_A,240102,Smp,LabBlk2,A,489634,489634
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk2_B,240102,Smp,LabBlk2,B,2006175,2006175
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk2_C,240102,Smp,LabBlk2,C,1163727,1163727
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk3_A,240102,Smp,LabBlk3,A,1118080,1118080
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk3_B,240102,Smp,LabBlk3,B,1536594,1536594
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk3_C,240102,Smp,LabBlk3,C,782272,782272
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk4_A,240102,Smp,LabBlk4,A,485583,485583
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk4_B,240102,Smp,LabBlk4,B,829699,829699
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk4_C,240102,Smp,LabBlk4,C,1469252,1469252
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk5_A,240102,Smp,LabBlk5,A,935229,935229
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk5_B,240102,Smp,LabBlk5,B,1204966,1204966
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_LabBlk5_C,240102,Smp,LabBlk5,C,382172,382172
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_CXBLK_A,240102,Smp,RC078,CXBLK,715701,715701
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_CXBLK_B,240102,Smp,RC078,CXBLK,1164388,1164388
Betonicine,Inj_vol,0.04200748967588659,KinExp,0.04200748967588659,240102_Smp_RC078_CXBLK_C,240102,Smp,RC078,CXBLK,1387104,1387104
