cruise,exp,treatment_conc,rep,Fragment_mz,nM.per.hour.1,se.nM.per.hour.1
TN397,UKH5,10,C,78.0399,0.03785073102222845,0.00161293909438315
TN397,UKH5,50,A,78.0399,0.1146491897302941,0.00488556377277744
TN397,UKH5,50,B,78.0399,0.11091464822660747,0.00472642317421529
TN397,UKH5,50,C,78.0399,0.13793138156421544,0.00587769143841768
TN397,UKH5,200,A,78.0399,0.28265320569475055,0.01204474506318121
TN397,UKH5,200,B,78.0399,0.29108151009900396,0.01240390171104089
TN397,UKH5,200,C,78.0399,0.27214334790023,0.01159688685660563
TN397,UKH5,1000,A,78.0399,0.477618600469248,0.02035283578668549
TN397,UKH5,1000,B,78.0399,0.47956751112874657,0.02043588502006275
TN397,UKH5,1000,C,78.0399,0.4775898110306446,0.02035160897785578
TN397,UKH5,0,A,78.0399,7.534831968628932e-4,3.2108296784736874e-5
TN397,UKH5,0,B,78.0399,9.590148493357132e-4,4.0866649092698866e-5
TN397,UKH5,0,C,78.0399,6.925184531083497e-4,2.951039666695561e-5
TN397,UKH1,0,A,97.0954,7.355713549960087e-5,3.2718808373267965e-6
TN397,UKH1,0,B,97.0954,3.041159298436243e-5,1.3527322351841366e-6
TN397,UKH1,0,C,97.0954,1.3312324708657856e-5,5.921429623203043e-7
TN397,UKH1,2,A,97.0954,0.00657921158129222,2.926486485823714e-4
TN397,UKH1,2,B,97.0954,0.00824757274611313,3.668587015954795e-4
TN397,UKH1,2,C,97.0954,0.00805359015047287,3.5823019896090154e-4
TN397,UKH1,5,A,97.0954,0.01022723996051676,4.5491589929761784e-4
TN397,UKH1,5,B,97.0954,0.01326118789434907,5.898683554900841e-4
TN397,UKH1,5,C,97.0954,0.0099853750575458,4.441575529335607e-4
TN397,UKH1,10,A,97.0954,0.01862002132690229,8.282335976832388e-4
TN397,UKH1,10,B,97.0954,0.02022828873328997,8.997706317522948e-4
TN397,UKH1,10,C,97.0954,0.02488534392884148,0.00110692021077282
TN397,UKH1,50,A,97.0954,0.02950636744580836,0.0013124670716084
TN397,UKH1,50,B,97.0954,0.02260508765434434,0.00100549256873581
TN397,UKH1,50,C,97.0954,0.04189408378713032,0.00186348270646317
TN397,UKH1,200,A,97.0954,0.06545874286798181,0.00291165778779427
TN397,UKH1,200,B,97.0954,0.0833903895553625,0.00370927192515385
TN397,UKH1,200,C,97.0954,0.0706064866420647,0.00314063359137191
TN397,UKH1,1000,A,97.0954,0.07853268255983262,0.0034931971918996
TN397,UKH1,1000,B,97.0954,0.05523080777308766,0.00245671096835773
TN397,UKH1,1000,C,97.0954,0.06464240818664604,0.00287534656139093
TN397,UKH2,0,A,97.0954,2.2221844685043888e-5,1.4488147359345992e-6
TN397,UKH2,0,B,97.0954,2.4612305897207376e-5,1.6046674780876167e-6
TN397,UKH2,0,C,97.0954,5.589597674617569e-6,3.644293079044941e-7
