Rep,Compound,Area,Batch
170706_Smp_S6E37D15_Ds,Dimethylsulfoniopropionate,231296416,G2
170706_Std_4uM-StdsInH2O_1,Homarine,123931152,G2
170706_Std_4uM-StdsInH2O_2,Homarine,152919744,G2
170706_Std_4uM-StdsInH2O_3,Homarine,169444288,G2
170706_Std_4uM-StdsInH2O_4,Homarine,66780900,G2
170706_Std_4uM-StdsInH2O_5,Homarine,173458848,G2
170706_Std_4uM-StdsInH2O_6,Homarine,174244560,G2
170706_Std_4uM-StdsInAqMatrix_1,Homarine,3115858432,G2
170706_Std_4uM-StdsInAqMatrix_2,Homarine,2870764032,G2
170706_Std_4uM-StdsInAqMatrix_3,Homarine,2925307648,G2
170706_Std_4uM-StdsInAqMatrix_4,Homarine,3966878976,G2
170706_Std_4uM-StdsInAqMatrix_5,Homarine,2512159488,G2
170706_Blk_Blk0p2_1,Homarine,513803,G2
170706_Blk_Blk0p2_2,Homarine,17068062,G2
170706_Blk_BlkMQ_1,Homarine,434721,G2
170706_Blk_BlkMQ_3,Homarine,1222330,G2
170706_Blk_MQBlk_2,Homarine,427886,G2
170706_Poo_TruePoo_Full1,Homarine,3062056960,G2
170706_Poo_TruePoo_Full2,Homarine,3130158592,G2
170706_Poo_TruePoo_Full3,Homarine,3068082432,G2
170706_Poo_TruePoo_Full4,Homarine,3311159552,G2
170706_Poo_TruePoo_Full5,Homarine,3317805056,G2
170706_Poo_TruePoo_Full6,Homarine,3372753920,G2
170706_Poo_TruePoo_Full7,Homarine,3225558016,G2
170706_Poo_TruePoo_Half1,Homarine,1514994688,G2
170706_Poo_TruePoo_Half2,Homarine,1571941504,G2
170706_Poo_TruePoo_Half3,Homarine,1600273152,G2
170706_Poo_TruePoo_Half4,Homarine,1587277056,G2
170706_Poo_TruePoo_Half5,Homarine,1720148992,G2
170706_Poo_TruePoo_Half6,Homarine,1733135488,G2
170706_Poo_TruePoo_Half7,Homarine,1757594112,G2
170706_Smp_S3E15D15_A,Homarine,371331488,G2
170706_Smp_S3E15D15_B,Homarine,204781104,G2
170706_Smp_S3E15D15_C,Homarine,331482944,G2
170706_Smp_S3E15E15_Ds,Homarine,39996116,G2
170706_Smp_S4E16D15_A,Homarine,195792528,G2
170706_Smp_S4E16D15_B,Homarine,292277408,G2
170706_Smp_S4E16D15_C,Homarine,235700096,G2
170706_Smp_S4E16D15_Ds,Homarine,78005288,G2
170706_Smp_S5E28D15_A,Homarine,4249678592,G2
170706_Smp_S5E28D15_B,Homarine,4340447232,G2
170706_Smp_S5E28D15_C,Homarine,5306433024,G2
170706_Smp_S5E28D15_Ds,Homarine,3807047680,G2
170706_Smp_S6E37D15_A,Homarine,7932341760,G2
170706_Smp_S6E37D15_B,Homarine,5852804096,G2
170706_Smp_S6E37D15_C,Homarine,5058710016,G2
170706_Smp_S6E37D15_Ds,Homarine,1304066432,G2
170706_Std_4uM-StdsInH2O_1,Trigonelline,475921088,G2
170706_Std_4uM-StdsInH2O_2,Trigonelline,505807424,G2
170706_Std_4uM-StdsInH2O_3,Trigonelline,520342400,G2
170706_Std_4uM-StdsInH2O_4,Trigonelline,439474080,G2
170706_Std_4uM-StdsInH2O_5,Trigonelline,555306112,G2
170706_Std_4uM-StdsInH2O_6,Trigonelline,529665696,G2
170706_Std_4uM-StdsInAqMatrix_1,Trigonelline,1669977728,G2
170706_Std_4uM-StdsInAqMatrix_2,Trigonelline,1544345472,G2
170706_Std_4uM-StdsInAqMatrix_3,Trigonelline,1600451584,G2
170706_Std_4uM-StdsInAqMatrix_4,Trigonelline,835763904,G2
170706_Std_4uM-StdsInAqMatrix_5,Trigonelline,848198272,G2
170706_Blk_Blk0p2_1,Trigonelline,858888,G2
170706_Blk_Blk0p2_2,Trigonelline,5310202,G2
170706_Blk_BlkMQ_1,Trigonelline,465884,G2
170706_Blk_BlkMQ_3,Trigonelline,2904072,G2
170706_Blk_MQBlk_2,Trigonelline,4114274,G2
170706_Poo_TruePoo_Full1,Trigonelline,809887424,G2
170706_Poo_TruePoo_Full2,Trigonelline,887261440,G2
170706_Poo_TruePoo_Full3,Trigonelline,927674880,G2
170706_Poo_TruePoo_Full4,Trigonelline,941017344,G2
170706_Poo_TruePoo_Full5,Trigonelline,967392320,G2
170706_Poo_TruePoo_Full6,Trigonelline,1035135872,G2
170706_Poo_TruePoo_Full7,Trigonelline,1055734016,G2
170706_Poo_TruePoo_Half1,Trigonelline,428029152,G2
170706_Poo_TruePoo_Half2,Trigonelline,440373728,G2
170706_Poo_TruePoo_Half3,Trigonelline,428605248,G2
170706_Poo_TruePoo_Half4,Trigonelline,454727424,G2
170706_Poo_TruePoo_Half5,Trigonelline,477536544,G2
170706_Poo_TruePoo_Half6,Trigonelline,485489920,G2
170706_Poo_TruePoo_Half7,Trigonelline,484063168,G2
170706_Smp_S3E15D15_A,Trigonelline,389005504,G2
170706_Smp_S3E15D15_B,Trigonelline,206641280,G2
170706_Smp_S3E15D15_C,Trigonelline,291213984,G2
170706_Smp_S3E15E15_Ds,Trigonelline,135421712,G2
170706_Smp_S4E16D15_A,Trigonelline,272609056,G2
170706_Smp_S4E16D15_B,Trigonelline,392017408,G2
170706_Smp_S4E16D15_C,Trigonelline,311455296,G2
170706_Smp_S4E16D15_Ds,Trigonelline,149210976,G2
170706_Smp_S5E28D15_A,Trigonelline,247321872,G2
170706_Smp_S5E28D15_B,Trigonelline,292564640,G2
170706_Smp_S5E28D15_C,Trigonelline,403700736,G2
170706_Smp_S5E28D15_Ds,Trigonelline,74170472,G2
170706_Smp_S6E37D15_A,Trigonelline,5067076096,G2
170706_Smp_S6E37D15_B,Trigonelline,3722513920,G2
170706_Smp_S6E37D15_C,Trigonelline,3427937280,G2
170706_Smp_S6E37D15_Ds,Trigonelline,262425376,G2
170706_Std_4uM-StdsInH2O_1,Proline betaine,731884416,G2
170706_Std_4uM-StdsInH2O_2,Proline betaine,684187904,G2
170706_Std_4uM-StdsInH2O_3,Proline betaine,712207040,G2
170706_Std_4uM-StdsInH2O_4,Proline betaine,607109888,G2
170706_Std_4uM-StdsInH2O_5,Proline betaine,772726080,G2
170706_Std_4uM-StdsInH2O_6,Proline betaine,762476480,G2
170706_Std_4uM-StdsInAqMatrix_1,Proline betaine,758861504,G2
170706_Std_4uM-StdsInAqMatrix_2,Proline betaine,791789248,G2
170706_Std_4uM-StdsInAqMatrix_3,Proline betaine,852003968,G2
170706_Std_4uM-StdsInAqMatrix_4,Proline betaine,552744192,G2
170706_Std_4uM-StdsInAqMatrix_5,Proline betaine,777315968,G2
170706_Blk_Blk0p2_1,Proline betaine,509102,G2
170706_Blk_Blk0p2_2,Proline betaine,1490911,G2
170706_Blk_BlkMQ_1,Proline betaine,1766908,G2
170706_Blk_BlkMQ_3,Proline betaine,2726659,G2
170706_Blk_MQBlk_2,Proline betaine,352163,G2
170706_Poo_TruePoo_Full1,Proline betaine,118234952,G2
170706_Poo_TruePoo_Full2,Proline betaine,123236488,G2
170706_Poo_TruePoo_Full3,Proline betaine,132172688,G2
170706_Poo_TruePoo_Full4,Proline betaine,135805568,G2
170706_Poo_TruePoo_Full5,Proline betaine,138526528,G2
170706_Poo_TruePoo_Full6,Proline betaine,137460880,G2
170706_Poo_TruePoo_Full7,Proline betaine,137320928,G2
170706_Poo_TruePoo_Half1,Proline betaine,60873304,G2
170706_Poo_TruePoo_Half2,Proline betaine,62776920,G2
170706_Poo_TruePoo_Half3,Proline betaine,69010296,G2
170706_Poo_TruePoo_Half4,Proline betaine,68920416,G2
