Rep,Cruise,Injec_vol
220602_Smp_TN397_S7_1800_U_C,TN397,2
220602_Smp_TN397_S7_600_U_A,TN397,2
220602_Smp_TN397_S7_600_U_B,TN397,2
220602_Smp_TN397_S7_600_U_C,TN397,2
220602_Smp_TN397_S8_U_A,TN397,2
220602_Smp_TN397_S8_U_B,TN397,2
220602_Smp_TN397_S8_U_C,TN397,2
220602_Smp_TN397_S9_1800_U_A,TN397,2
220602_Smp_TN397_S9_1800_U_B,TN397,2
220602_Smp_TN397_S9_1800_U_C,TN397,2
220602_Smp_TN397_S9_600_U_A,TN397,2
220602_Smp_TN397_S9_600_U_B,TN397,2
220602_Smp_TN397_S9_600_U_C,TN397,2
220602_Smp_TN397_U1_A,TN397,2
220602_Smp_TN397_U1_B,TN397,2
220602_Smp_TN397_U1_C,TN397,2
220602_Smp_TN397_U10_A,TN397,2
220602_Smp_TN397_U10_B,TN397,2
220602_Smp_TN397_U10_C,TN397,2
220602_Smp_TN397_U11_A,TN397,2
220602_Smp_TN397_U11_B,TN397,2
220602_Smp_TN397_U11_C,TN397,2
220602_Smp_TN397_U12_A,TN397,2
220602_Smp_TN397_U12_B,TN397,2
220602_Smp_TN397_U12_C,TN397,2
220602_Smp_TN397_U13_A,TN397,2
220602_Smp_TN397_U13_B,TN397,2
220602_Smp_TN397_U13_C,TN397,2
220602_Smp_TN397_U2_A,TN397,2
220602_Smp_TN397_U2_B,TN397,2
220602_Smp_TN397_U2_C,TN397,2
220602_Smp_TN397_U3_A,TN397,2
220602_Smp_TN397_U3_B,TN397,2
220602_Smp_TN397_U3_C,TN397,2
220602_Smp_TN397_U4_A,TN397,2
220602_Smp_TN397_U4_B,TN397,2
220602_Smp_TN397_U4_C,TN397,2
220602_Smp_TN397_U5_A,TN397,2
220602_Smp_TN397_U5_B,TN397,2
220602_Smp_TN397_U5_C,TN397,2
220602_Smp_TN397_U6_A,TN397,2
220602_Smp_TN397_U6_B,TN397,2
220602_Smp_TN397_U6_C,TN397,2
220602_Smp_TN397_U9_A,TN397,2
220602_Smp_TN397_U9_B,TN397,2
220602_Smp_TN397_U9_C,TN397,2
220602_Smp_TN397_UCH1_Gluc_A,TN397,2
220602_Smp_TN397_UCH1_Gluc_B,TN397,2
220602_Smp_TN397_UCH1_Gluc_C,TN397,2
220602_Smp_TN397_UKH1_0nM_A,TN397,2
220602_Smp_TN397_UKH1_0nM_B,TN397,2
220602_Smp_TN397_UKH1_0nM_C,TN397,2
220602_Smp_TN397_UKH2_0nM_A,TN397,2
220602_Smp_TN397_UKH2_0nM_B,TN397,2
220602_Smp_TN397_UKH2_0nM_C,TN397,2
220602_Smp_TN397_UKH3_0nM_A,TN397,2
220602_Smp_TN397_UKH3_0nM_B,TN397,2
220602_Smp_TN397_UKH3_0nM_C,TN397,2
220602_Smp_TN397_UKH4_0nM_A,TN397,2
220602_Smp_TN397_UKH4_0nM_B,TN397,2
220602_Smp_TN397_UKH4_0nM_C,TN397,2
220602_Smp_TN397_UKH5_0nM_A,TN397,2
220602_Smp_TN397_UKH5_0nM_B,TN397,2
220602_Smp_TN397_UKH5_0nM_C,TN397,2
220602_Smp_TN397_UKT1_0nM_A,TN397,2
220602_Smp_TN397_UKT1_0nM_B,TN397,2
220602_Smp_TN397_UKT1_0nM_C,TN397,2
220602_Smp_TN397_UKT2_0nM_A,TN397,2
220602_Smp_TN397_UKT2_0nM_B,TN397,2
220602_Smp_TN397_UKT2_0nM_C,TN397,2
220602_Smp_TN397_UKT3_0nM_A,TN397,2
220602_Smp_TN397_UKT3_0nM_B,TN397,2
220602_Smp_TN397_UKT3_0nM_C,TN397,2
220602_Smp_TN397_UKT4_0nM_A,TN397,2
220602_Smp_TN397_UKT4_0nM_B,TN397,2
220602_Smp_TN397_UKT4_0nM_C,TN397,2
220602_Smp_TN397_UKT5_0nM_A,TN397,2
220602_Smp_TN397_UKT5_0nM_B,TN397,2
220602_Smp_TN397_UKT5_0nM_C,TN397,2
220602_Smp_TN397_UnfiltMQ1_A,TN397,2
220602_Smp_TN397_UnfiltMQ1_B,TN397,2
220602_Smp_TN397_UnfiltMQ1_C,TN397,2
240102_Std_4uMStdsMix1InH2O_1,KinExp,2
240102_Std_4uMStdsMix1InH2O_2,KinExp,2
240102_Std_4uMStdsMix1InMatrix_1,KinExp,2
240102_Std_4uMStdsMix1InMatrix_2,KinExp,2
240102_Std_4uMStdsMix2InH2O_1,KinExp,2
240102_Std_4uMStdsMix2InH2O_2,KinExp,2
240102_Std_4uMStdsMix2InMatrix_1,KinExp,2
240102_Std_4uMStdsMix2InMatrix_2,KinExp,2
240102_Std_H2OinMatrix_1,KinExp,2
240102_Std_H2OinMatrix_2,KinExp,2
240102_Poo_PooKinDissSept23_Full1,KinExp,2
240102_Poo_PooKinDissSept23_Full2,KinExp,2
240102_Poo_PooKinDissSept23_Full3,KinExp,2
240102_Poo_PooKinDissSept23_Full4,KinExp,2
240102_Poo_PooKinDissSept23_Half1,KinExp,1
240102_Poo_PooKinDissSept23_Half2,KinExp,1
240102_Poo_PooKinDissSept23_Half3,KinExp,1
240102_Poo_PooKinDissSept23_Half4,KinExp,1
240102_Smp_G5_Mix1_Kin_A,KinExp,2
240102_Smp_G5_Mix1_Kin_B,KinExp,2
240102_Smp_G5_Mix1_Kin_C,KinExp,2
240102_Smp_G5_Mix1iN_Kin_A,KinExp,2
240102_Smp_G5_Mix1iN_Kin_B,KinExp,2
240102_Smp_G5_Mix1iN_Kin_C,KinExp,2
240102_Smp_G5_Mix2_Kin_A,KinExp,2
240102_Smp_G5_Mix2_Kin_B,KinExp,2
240102_Smp_G5_Mix2_Kin_C,KinExp,2
240102_Smp_G5_Mix2iN_Kin_A,KinExp,2
240102_Smp_G5_Mix2iN_Kin_B,KinExp,2
240102_Smp_G5_Mix2iN_Kin_C,KinExp,2
240102_Smp_G5_UKG1_A,KinExp,2
240102_Smp_G5_UKG1_B,KinExp,2
240102_Smp_G5_UKG1_C,KinExp,2
240102_Smp_LabBlk1_A,KinExp,2
240102_Smp_LabBlk1_B,KinExp,2
240102_Smp_LabBlk1_C,KinExp,2
240102_Smp_LabBlk2_A,KinExp,2
240102_Smp_LabBlk2_B,KinExp,2
240102_Smp_LabBlk2_C,KinExp,2
240102_Smp_LabBlk3_A,KinExp,2
240102_Smp_LabBlk3_B,KinExp,2
240102_Smp_LabBlk3_C,KinExp,2
240102_Smp_LabBlk4_A,KinExp,2
240102_Smp_LabBlk4_B,KinExp,2
240102_Smp_LabBlk4_C,KinExp,2
240102_Smp_LabBlk5_A,KinExp,2
240102_Smp_LabBlk5_B,KinExp,2
240102_Smp_LabBlk5_C,KinExp,2
240102_Smp_RC078_CXBLK_A,KinExp,2
