Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU21_C,MU21,C,KM1906,Betonicine,94467728,NA,NA
220628_Smp_MU22_A,MU22,A,KM1906,Betonicine,61569500,NA,NA
220628_Smp_MU22_B,MU22,B,KM1906,Betonicine,82193384,NA,NA
220628_Smp_MU22_C,MU22,C,KM1906,Betonicine,73213360,NA,NA
220628_Smp_MU23_A,MU23,A,KM1906,Betonicine,91784312,NA,NA
220628_Smp_MU23_B,MU23,B,KM1906,Betonicine,97802632,NA,NA
220628_Smp_MU23_C,MU23,C,KM1906,Betonicine,102835584,NA,NA
220628_Smp_MU24_A,MU24,A,KM1906,Betonicine,79794704,NA,NA
220628_Smp_MU24_B,MU24,B,KM1906,Betonicine,97331320,NA,NA
220628_Smp_MU24_C,MU24,C,KM1906,Betonicine,90984480,NA,NA
220628_Smp_MU3_A,MU3,A,KM1906,Betonicine,95479976,NA,NA
220628_Smp_MU3_B,MU3,B,KM1906,Betonicine,140585504,NA,NA
220628_Smp_MU3_C,MU3,C,KM1906,Betonicine,114326312,NA,NA
220628_Smp_MU4_A,MU4,A,KM1906,Betonicine,123102384,NA,NA
220628_Smp_MU4_B,MU4,B,KM1906,Betonicine,175683888,NA,NA
220628_Smp_MU4_C,MU4,C,KM1906,Betonicine,155735712,NA,NA
220628_Smp_MU5_A,MU5,A,KM1906,Betonicine,90669856,NA,NA
220628_Smp_MU5_B,MU5,B,KM1906,Betonicine,142196688,NA,NA
220628_Smp_MU5_C,MU5,C,KM1906,Betonicine,95911088,NA,NA
220628_Smp_MU6_A,MU6,A,KM1906,Betonicine,109497408,NA,NA
220628_Smp_MU6_B,MU6,B,KM1906,Betonicine,125152960,NA,NA
220628_Smp_MU6_C,MU6,C,KM1906,Betonicine,97580208,NA,NA
220628_Smp_MU7_A,MU7,A,KM1906,Betonicine,90044480,NA,NA
220628_Smp_MU7_B,MU7,B,KM1906,Betonicine,113187552,NA,NA
220628_Smp_MU7_C,MU7,C,KM1906,Betonicine,104151504,NA,NA
220628_Smp_MU8_A,MU8,A,KM1906,Betonicine,78187352,NA,NA
220628_Smp_MU8_B,MU8,B,KM1906,Betonicine,65804084,NA,NA
220628_Smp_MU8_C,MU8,C,KM1906,Betonicine,61845376,NA,NA
220628_Smp_MU9_A,MU9,A,KM1906,Betonicine,57506804,NA,NA
220628_Smp_MU9_B,MU9,B,KM1906,Betonicine,46666732,NA,NA
220628_Smp_MU9_C,MU9,C,KM1906,Betonicine,61354312,NA,NA
220628_Smp_MU1_A,MU1,A,KM1906,Dimethylsulfonioacetate,219212928,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,Dimethylsulfonioacetate,256421568,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,Dimethylsulfonioacetate,199696048,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,Dimethylsulfonioacetate,679102464,NA,NA
220628_Smp_MU10_B,MU10,B,KM1906,Dimethylsulfonioacetate,772068800,NA,NA
220628_Smp_MU10_C,MU10,C,KM1906,Dimethylsulfonioacetate,253250032,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,Dimethylsulfonioacetate,1095161216,NA,NA
220628_Smp_MU11_B,MU11,B,KM1906,Dimethylsulfonioacetate,2335101184,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,Dimethylsulfonioacetate,1558118784,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,Dimethylsulfonioacetate,607523520,NA,NA
