Name,SampID,Cruise,EE.adjust.conc,Empirical_Formula,C,N,Nmol.C,Nmol.N
Betonicine,220623_Smp_MU9_C,KM1906,0.032151881995150934,C7H13NO3,7,1,0.22506317396605655,0.032151881995150934
Betonicine,240102_Poo_PooKinDissSept23_Full1,KinExp,0.24632154382385604,C7H13NO3,7,1,1.7242508067669924,0.24632154382385604
Betonicine,240102_Poo_PooKinDissSept23_Full2,KinExp,0.2605178780510756,C7H13NO3,7,1,1.8236251463575295,0.2605178780510756
Betonicine,240102_Poo_PooKinDissSept23_Full3,KinExp,0.26392222893436396,C7H13NO3,7,1,1.8474556025405477,0.26392222893436396
Betonicine,240102_Poo_PooKinDissSept23_Full4,KinExp,0.26500272237247996,C7H13NO3,7,1,1.8550190566073597,0.26500272237247996
Betonicine,240102_Poo_PooKinDissSept23_Half1,KinExp,0.2704600864969886,C7H13NO3,7,1,1.8932206054789202,0.2704600864969886
Betonicine,240102_Poo_PooKinDissSept23_Half2,KinExp,0.2755332848417868,C7H13NO3,7,1,1.9287329938925075,0.2755332848417868
Betonicine,240102_Poo_PooKinDissSept23_Half3,KinExp,0.2670482291667488,C7H13NO3,7,1,1.8693376041672416,0.2670482291667488
Betonicine,240102_Poo_PooKinDissSept23_Half4,KinExp,0.2846474645342833,C7H13NO3,7,1,1.992532251739983,0.2846474645342833
Betonicine,240102_Smp_G5_Mix1_Kin_A,KinExp,0.04924909773932861,C7H13NO3,7,1,0.34474368417530027,0.04924909773932861
Betonicine,240102_Smp_G5_Mix1_Kin_B,KinExp,0.07265783979962388,C7H13NO3,7,1,0.5086048785973671,0.07265783979962388
Betonicine,240102_Smp_G5_Mix1_Kin_C,KinExp,0.06806506211384576,C7H13NO3,7,1,0.4764554347969203,0.06806506211384576
Betonicine,240102_Smp_G5_Mix1iN_Kin_A,KinExp,0.02461274554562209,C7H13NO3,7,1,0.17228921881935463,0.02461274554562209
Betonicine,240102_Smp_G5_Mix1iN_Kin_B,KinExp,0.05017230614601626,C7H13NO3,7,1,0.35120614302211384,0.05017230614601626
Betonicine,240102_Smp_G5_Mix1iN_Kin_C,KinExp,0.043740831528196494,C7H13NO3,7,1,0.30618582069737543,0.043740831528196494
Betonicine,240102_Smp_G5_Mix2_Kin_A,KinExp,0.028839330237496897,C7H13NO3,7,1,0.20187531166247827,0.028839330237496897
Betonicine,240102_Smp_G5_Mix2_Kin_B,KinExp,0.03695857146263019,C7H13NO3,7,1,0.2587100002384113,0.03695857146263019
Betonicine,240102_Smp_G5_Mix2_Kin_C,KinExp,0.043392945566396876,C7H13NO3,7,1,0.3037506189647781,0.043392945566396876
Betonicine,240102_Smp_G5_Mix2iN_Kin_A,KinExp,0.038275131381590555,C7H13NO3,7,1,0.2679259196711339,0.038275131381590555
Betonicine,240102_Smp_G5_Mix2iN_Kin_B,KinExp,0.05778937654046378,C7H13NO3,7,1,0.40452563578324646,0.05778937654046378
Betonicine,240102_Smp_G5_Mix2iN_Kin_C,KinExp,0.08409547423091103,C7H13NO3,7,1,0.5886683196163772,0.08409547423091103
Betonicine,240102_Smp_G5_UKG1_A,KinExp,0.025739336783230236,C7H13NO3,7,1,0.18017535748261165,0.025739336783230236
Betonicine,240102_Smp_G5_UKG1_B,KinExp,0.025367977066452083,C7H13NO3,7,1,0.1775758394651646,0.025367977066452083
Betonicine,240102_Smp_G5_UKG1_C,KinExp,0.01683880088025528,C7H13NO3,7,1,0.11787160616178696,0.01683880088025528
Betonicine,240102_Smp_LabBlk1_A,KinExp,0.005400530172885327,C7H13NO3,7,1,0.037803711210197294,0.005400530172885327
Betonicine,240102_Smp_LabBlk1_B,KinExp,0.004063975882082738,C7H13NO3,7,1,0.028447831174579163,0.004063975882082738
Betonicine,240102_Smp_LabBlk1_C,KinExp,0.005090587206352072,C7H13NO3,7,1,0.035634110444464503,0.005090587206352072
Betonicine,240102_Smp_LabBlk2_A,KinExp,0.001971787364068646,C7H13NO3,7,1,0.013802511548480521,0.001971787364068646
Betonicine,240102_Smp_LabBlk2_B,KinExp,0.008078994749364661,C7H13NO3,7,1,0.05655296324555263,0.008078994749364661
Betonicine,240102_Smp_LabBlk2_C,KinExp,0.004686402892416608,C7H13NO3,7,1,0.03280482024691626,0.004686402892416608
Betonicine,240102_Smp_LabBlk3_A,KinExp,0.004502579510446315,C7H13NO3,7,1,0.031518056573124204,0.004502579510446315
Betonicine,240102_Smp_LabBlk3_B,KinExp,0.006187962095981278,C7H13NO3,7,1,0.043315734671868944,0.006187962095981278
Betonicine,240102_Smp_LabBlk3_C,KinExp,0.003150259264807402,C7H13NO3,7,1,0.022051814853651815,0.003150259264807402
Betonicine,240102_Smp_LabBlk4_A,KinExp,0.0019554737285534607,C7H13NO3,7,1,0.013688316099874226,0.0019554737285534607
Betonicine,240102_Smp_LabBlk4_B,KinExp,0.0033412508203686654,C7H13NO3,7,1,0.023388755742580657,0.0033412508203686654
Betonicine,240102_Smp_LabBlk4_C,KinExp,0.0059167715645412405,C7H13NO3,7,1,0.04141740095178868,0.0059167715645412405
Betonicine,240102_Smp_LabBlk5_A,KinExp,0.0037662268647817667,C7H13NO3,7,1,0.026363588053472366,0.0037662268647817667
Betonicine,240102_Smp_LabBlk5_B,KinExp,0.004852474977089702,C7H13NO3,7,1,0.033967324839627916,0.004852474977089702
Betonicine,240102_Smp_LabBlk5_C,KinExp,0.001539031032364669,C7H13NO3,7,1,0.010773217226552683,0.001539031032364669
Betonicine,240102_Smp_RC078_CXBLK_A,KinExp,0.002882173599568849,C7H13NO3,7,1,0.020175215196981944,0.002882173599568849
Betonicine,240102_Smp_RC078_CXBLK_B,KinExp,0.004689064781598423,C7H13NO3,7,1,0.03282345347118896,0.004689064781598423
