SampID,cruise,exp,treatment,rep,Area,Fragment_mz,blk.slope,slope,std.error.slope,intercept,std.error.intercept,std_error,treatment_conc,nM.in.vial,blk.conc,nM.in.vial.adj,se.nM.in.vial.adj,Cruise,Exp,Treatment,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,exp_time,filt_time,incubation_time1,incubation_time2,nM.in.smp,se.nM.in.smp,nM.per.hour.1,nM.per.hour.2,se.nM.per.hour.1,se.nM.per.hour.2
RC078_UKH2_2000nM_C,RC078,UKH2,2000nM,C,930795584,97.0954,0.2318965797530301,1013119.1245714285,74730.21828073659,23410781.600000013,8561422.049301201,0.07376251861038464,2000,918.7424868657442,463.7931595060602,454.94932735968405,67.76875978558553,RC078,UKH2,2000nM,1,2022-06-07T09:46:00Z,2022-06-07T10:16:00Z,2022-06-07T10:23:00Z,30,7,33.5,37,0.1819797309438736,0.013423283290460266,0.32593384646663925,0.29510226639547066,0.02404170141574973,0.021767486416962592
RC104_UCH1_Con_A,RC104,UCH1,Con,A,226625168,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,222.76657995108596,11.594828987651505,211.17175096343445,19.750151209423713,RC104,UCH1,Con,2,2023-09-03T13:55:00Z,2023-09-03T14:22:00Z,2023-09-03T14:36:00Z,27,14,34,41,0.042234350192686884,0.0037444342087600163,0.07453120622238862,0.06180636613563934,0.006607825074282382,0.0054796598176975846
RC104_UCH1_Con_B,RC104,UCH1,Con,B,204768656,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,201.28220347662543,11.594828987651505,189.68737448897392,17.84537858103416,RC104,UCH1,Con,2,2023-09-03T13:55:00Z,2023-09-03T14:22:00Z,2023-09-03T14:47:00Z,27,25,39.5,52,0.03793747489779478,0.0033634796830821065,0.057626544148549036,0.04377400949745552,0.005109083062909529,0.0038809380958639687
RC104_UCH1_Con_C,RC104,UCH1,Con,C,276013888,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,271.31439279842954,11.594828987651505,259.719563810778,24.05432755774478,RC104,UCH1,Con,2,2023-09-03T13:55:00Z,2023-09-03T14:22:00Z,2023-09-03T14:41:00Z,27,19,36.5,46,0.0519439127621556,0.004605269478424229,0.08538725385559826,0.06775292968976816,0.0075703059919302405,0.006006873232727255
RC104_UCH1_DMSP_A,RC104,UCH1,DMSP,A,100763264,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,99.04763845994538,11.594828987651505,87.45280947229386,8.781415223727846,RC104,UCH1,DMSP,2,2023-09-03T14:28:00Z,2023-09-03T14:58:00Z,2023-09-03T15:13:00Z,30,15,37.5,45,0.017490561894458773,0.0015506870116208436,0.027984899031134037,0.023320749192611696,0.0024810992185933496,0.002067582682161125
RC104_UCH1_DMSP_B,RC104,UCH1,DMSP,B,91873624,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,90.30935613555512,11.594828987651505,78.71452714790361,8.006692205332373,RC104,UCH1,DMSP,2,2023-09-03T14:28:00Z,2023-09-03T14:58:00Z,2023-09-03T15:15:00Z,30,17,38.5,47,0.01574290542958072,0.0013957424079417485,0.024534398072073846,0.02009732608031581,0.0021751829734157116,0.0017817988186490407
RC104_UCH1_DMSP_C,RC104,UCH1,DMSP,C,112250096,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,110.33889221474763,11.594828987651505,98.74406322709612,9.782480864050932,RC104,UCH1,DMSP,2,2023-09-03T14:28:00Z,2023-09-03T14:58:00Z,2023-09-03T15:17:00Z,30,19,39.5,49,0.019748812645419223,0.0017509001396854606,0.029998196423421605,0.024182219565819455,0.0026595951488893074,0.0021439593547168904
RC104_UCH1_GBT_A,RC104,UCH1,GBT,A,135125392,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,132.8247065674093,11.594828987651505,121.22987757975778,11.776039474276985,RC104,UCH1,GBT,2,2023-09-03T14:28:00Z,2023-09-03T14:58:00Z,2023-09-03T15:26:00Z,30,28,44,58,0.024245975515951555,0.0021496118617306713,0.03306269388538849,0.025082043637191263,0.0029312889023600064,0.002223736408686901
RC104_UCH1_GBT_B,RC104,UCH1,GBT,B,109439712,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,107.57635865523913,11.594828987651505,95.98152966758762,9.537558777742563,RC104,UCH1,GBT,2,2023-09-03T14:28:00Z,2023-09-03T14:58:00Z,2023-09-03T15:19:00Z,30,21,40.5,51,0.019196305933517524,0.0017019157224237866,0.028438971753359292,0.022583889333550027,0.002521356625813017,0.002002253791086808
RC104_UCH1_GBT_C,RC104,UCH1,GBT,C,142439152,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,140.01394029710278,11.594828987651505,128.41911130945127,12.41342616519136,RC104,UCH1,GBT,2,2023-09-03T14:28:00Z,2023-09-03T14:58:00Z,2023-09-03T15:26:00Z,30,28,44,58,0.02568382226189025,0.002277089199913546,0.03502339399348671,0.026569471305403707,0.003105121636245745,0.0023556095171519444
RC104_UCH1_Gluc_A,RC104,UCH1,Gluc,A,224192288,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,220.3751228953039,11.594828987651505,208.78029390765238,19.538128209955342,RC104,UCH1,Gluc,2,2023-09-03T13:55:00Z,2023-09-03T14:22:00Z,2023-09-03T14:47:00Z,27,25,39.5,52,0.04175605878153047,0.0037020296088663427,0.0634269247314387,0.04818006782484285,0.005623336114733685,0.004271572625615011
RC104_UCH1_Gluc_B,RC104,UCH1,Gluc,B,229976064,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,226.06042259124575,11.594828987651505,214.46559360359424,20.042178362767302,RC104,UCH1,Gluc,2,2023-09-03T13:55:00Z,2023-09-03T14:22:00Z,2023-09-03T14:47:00Z,27,25,39.5,52,0.04289311872071885,0.003802839639428735,0.06515410438590205,0.0494920600623679,0.005776465275081623,0.00438789189164854
RC104_UCH1_Gluc_C,RC104,UCH1,Gluc,C,217290096,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,213.59044968546098,11.594828987651505,201.99562069780947,18.936609248581757,RC104,UCH1,Gluc,2,2023-09-03T13:55:00Z,2023-09-03T14:22:00Z,2023-09-03T14:47:00Z,27,25,39.5,52,0.04039912413956189,0.0035817258165916255,0.06136575818667629,0.04661437400718679,0.005440596177101203,0.004132760557605721
RC104_UCH1_Hom_A,RC104,UCH1,Hom,A,142172160,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,139.75149418293464,11.594828987651505,128.15666519528313,12.39015808592972,RC104,UCH1,Hom,2,2023-09-03T14:55:00Z,2023-09-03T15:28:00Z,2023-09-03T15:56:00Z,33,28,47,61,0.02563133303905662,0.002272435584061218,0.03272085068815739,0.025211147251531105,0.002900981596673895,0.002235182541699559
RC104_UCH1_Hom_B,RC104,UCH1,Hom,B,109014920,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,107.15879929117688,11.594828987651505,95.56397030352537,9.50053859015001,RC104,UCH1,Hom,2,2023-09-03T14:55:00Z,2023-09-03T15:28:00Z,2023-09-03T15:56:00Z,33,28,47,61,0.019112794060705072,0.0016945116849052763,0.02439931156685754,0.01879946956790663,0.002163206406262055,0.001666732804824862
RC104_UCH1_Hom_C,RC104,UCH1,Hom,C,131034432,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,128.8034004787727,11.594828987651505,117.20857149112118,11.419516501542978,RC104,UCH1,Hom,2,2023-09-03T14:55:00Z,2023-09-03T15:31:00Z,2023-09-03T15:55:00Z,36,24,48,60,0.023441714298224232,0.0020783072671838694,0.02930214287278029,0.023441714298224232,0.0025978840839798365,0.0020783072671838694
RC104_UCH1_TMAO_A,RC104,UCH1,TMAO,A,209657008,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,206.08732493002486,11.594828987651505,194.49249594237335,18.271393449624963,RC104,UCH1,TMAO,2,2023-09-03T15:27:00Z,2023-09-03T15:59:00Z,2023-09-03T16:06:00Z,32,7,35.5,39,0.03889849918847467,0.003448682656800267,0.06574394229037972,0.059843844905345646,0.0058287594199441135,0.005305665625846565
RC104_UCH1_TMAO_B,RC104,UCH1,TMAO,B,162226704,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,159.46458350476394,11.594828987651505,147.86975451711243,14.137891049269614,RC104,UCH1,TMAO,2,2023-09-03T15:27:00Z,2023-09-03T15:59:00Z,2023-09-03T16:09:00Z,32,10,37,42,0.029573950903422484,0.002621982176729197,0.04795775822176619,0.04224850129060355,0.004251862989290589,0.003745688823898853
RC104_UCH1_TMAO_C,RC104,UCH1,TMAO,C,198634224,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,195.25221815486054,11.594828987651505,183.65738916720903,17.310769117075914,RC104,UCH1,TMAO,2,2023-09-03T15:27:00Z,2023-09-03T15:59:00Z,2023-09-03T16:11:00Z,32,12,38,44,0.0367314778334418,0.0032565577902904565,0.05799707026332916,0.050088378863784276,0.005141933353090195,0.00444076062312335
RC104_UCH1_Trig_A,RC104,UCH1,Trig,A,137780400,97.0954,0.2318965797530301,1017321.216,90194.17476789634,221126137.6,10333040.827949025,0.08865850170954888,50,135.43450960527298,11.594828987651505,123.83968061762147,12.007420701371009,RC104,UCH1,Trig,2,2023-09-03T14:55:00Z,2023-09-03T15:25:00Z,2023-09-03T15:38:00Z,30,13,36.5,43,0.024767936123524292,0.002195888107149476,0.04071441554551939,0.0345599108700339,0.0036096790802457143,0.003064029916952757
