Rep,Compound,Area,Cruise
220628_Smp_MU2_C,Betonicine,78150736,KM1906
220628_Smp_MU20_A,Betonicine,82545488,KM1906
220628_Smp_MU20_B,Betonicine,159949488,KM1906
220628_Smp_MU20_C,Betonicine,128353384,KM1906
220628_Smp_MU21_A,Betonicine,83160568,KM1906
220628_Smp_MU21_B,Betonicine,135983328,KM1906
220628_Smp_MU21_C,Betonicine,94467728,KM1906
220628_Smp_MU22_A,Betonicine,61569500,KM1906
220628_Smp_MU22_B,Betonicine,82193384,KM1906
220628_Smp_MU22_C,Betonicine,73213360,KM1906
220628_Smp_MU23_A,Betonicine,91784312,KM1906
220628_Smp_MU23_B,Betonicine,97802632,KM1906
220628_Smp_MU23_C,Betonicine,102835584,KM1906
220628_Smp_MU24_A,Betonicine,79794704,KM1906
220628_Smp_MU24_B,Betonicine,97331320,KM1906
220628_Smp_MU24_C,Betonicine,90984480,KM1906
220628_Smp_MU3_A,Betonicine,95479976,KM1906
220628_Smp_MU3_B,Betonicine,140585504,KM1906
220628_Smp_MU3_C,Betonicine,114326312,KM1906
220628_Smp_MU4_A,Betonicine,123102384,KM1906
220628_Smp_MU4_B,Betonicine,175683888,KM1906
220628_Smp_MU4_C,Betonicine,155735712,KM1906
220628_Smp_MU5_A,Betonicine,90669856,KM1906
220628_Smp_MU5_B,Betonicine,142196688,KM1906
220628_Smp_MU5_C,Betonicine,95911088,KM1906
220628_Smp_MU6_A,Betonicine,109497408,KM1906
220628_Smp_MU6_B,Betonicine,125152960,KM1906
220628_Smp_MU6_C,Betonicine,97580208,KM1906
220628_Smp_MU7_A,Betonicine,90044480,KM1906
220628_Smp_MU7_B,Betonicine,113187552,KM1906
220628_Smp_MU7_C,Betonicine,104151504,KM1906
220628_Smp_MU8_A,Betonicine,78187352,KM1906
220628_Smp_MU8_B,Betonicine,65804084,KM1906
220628_Smp_MU8_C,Betonicine,61845376,KM1906
220628_Smp_MU9_A,Betonicine,57506804,KM1906
220628_Smp_MU9_B,Betonicine,46666732,KM1906
220628_Smp_MU9_C,Betonicine,61354312,KM1906
220628_Std_4uMStdsMix1InH2O_1,Dimethylsulfonioacetate,NA,KM1906
220628_Std_4uMStdsMix1InH2O_2,Dimethylsulfonioacetate,NA,KM1906
220628_Std_4uMStdsMix1InMatrix_1,Dimethylsulfonioacetate,595016704,KM1906
220628_Std_4uMStdsMix1InMatrix_2,Dimethylsulfonioacetate,485405632,KM1906
220628_Std_4uMStdsMix2InH2O_1,Dimethylsulfonioacetate,748249856,KM1906
220628_Std_4uMStdsMix2InH2O_2,Dimethylsulfonioacetate,812937600,KM1906
220628_Std_4uMStdsMix2InMatrix_1,Dimethylsulfonioacetate,1247937536,KM1906
220628_Std_4uMStdsMix2InMatrix_2,Dimethylsulfonioacetate,1181319808,KM1906
220628_Std_H2OinMatrix_1,Dimethylsulfonioacetate,634085184,KM1906
220628_Std_H2OinMatrix_2,Dimethylsulfonioacetate,451080800,KM1906
220628_Poo_TruePooG3_Full1,Dimethylsulfonioacetate,857358592,KM1906
220628_Poo_TruePooG3_Full2,Dimethylsulfonioacetate,808755456,KM1906
220628_Poo_TruePooG3_Full3,Dimethylsulfonioacetate,760078784,KM1906
220628_Poo_TruePooG3_Half1,Dimethylsulfonioacetate,463784256,KM1906
220628_Poo_TruePooG3_Half2,Dimethylsulfonioacetate,408234720,KM1906
220628_Poo_TruePooG3_Half3,Dimethylsulfonioacetate,391961632,KM1906
220628_Smp_MBlk1_A,Dimethylsulfonioacetate,10139844,KM1906
220628_Smp_MBlk1_B,Dimethylsulfonioacetate,4022753,KM1906
220628_Smp_MMQBlk1_A,Dimethylsulfonioacetate,2635209,KM1906
220628_Smp_MMQBlk1_B,Dimethylsulfonioacetate,2002743,KM1906
220628_Smp_MU1_A,Dimethylsulfonioacetate,219212928,KM1906
220628_Smp_MU1_B,Dimethylsulfonioacetate,256421568,KM1906
220628_Smp_MU1_C,Dimethylsulfonioacetate,199696048,KM1906
220628_Smp_MU10_A,Dimethylsulfonioacetate,679102464,KM1906
220628_Smp_MU10_B,Dimethylsulfonioacetate,772068800,KM1906
220628_Smp_MU10_C,Dimethylsulfonioacetate,253250032,KM1906
220628_Smp_MU11_A,Dimethylsulfonioacetate,1095161216,KM1906
220628_Smp_MU11_B,Dimethylsulfonioacetate,2335101184,KM1906
220628_Smp_MU11_C,Dimethylsulfonioacetate,1558118784,KM1906
220628_Smp_MU14_A,Dimethylsulfonioacetate,607523520,KM1906
220628_Smp_MU14_B,Dimethylsulfonioacetate,1209838464,KM1906
220628_Smp_MU14_C,Dimethylsulfonioacetate,927154688,KM1906
220628_Smp_MU15_A,Dimethylsulfonioacetate,820562240,KM1906
220628_Smp_MU15_B,Dimethylsulfonioacetate,1383630080,KM1906
220628_Smp_MU15_C,Dimethylsulfonioacetate,890501952,KM1906
220628_Smp_MU16_A,Dimethylsulfonioacetate,801055360,KM1906
220628_Smp_MU16_B,Dimethylsulfonioacetate,1984758144,KM1906
220628_Smp_MU16_C,Dimethylsulfonioacetate,1400129280,KM1906
220628_Smp_MU17_A,Dimethylsulfonioacetate,594132672,KM1906
220628_Smp_MU17_B,Dimethylsulfonioacetate,1113656960,KM1906
220628_Smp_MU17_C,Dimethylsulfonioacetate,1420547968,KM1906
220628_Smp_MU18_A,Dimethylsulfonioacetate,741230016,KM1906
220628_Smp_MU18_B,Dimethylsulfonioacetate,1734084096,KM1906
220628_Smp_MU18_C,Dimethylsulfonioacetate,1633991040,KM1906
220628_Smp_MU19_A,Dimethylsulfonioacetate,858482944,KM1906
220628_Smp_MU19_B,Dimethylsulfonioacetate,1075492864,KM1906
220628_Smp_MU19_C,Dimethylsulfonioacetate,797330240,KM1906
220628_Smp_MU2_A,Dimethylsulfonioacetate,173616144,KM1906
220628_Smp_MU2_B,Dimethylsulfonioacetate,341419360,KM1906
220628_Smp_MU2_C,Dimethylsulfonioacetate,332893088,KM1906
220628_Smp_MU20_A,Dimethylsulfonioacetate,460194240,KM1906
220628_Smp_MU20_B,Dimethylsulfonioacetate,1237886720,KM1906
220628_Smp_MU20_C,Dimethylsulfonioacetate,658332608,KM1906
220628_Smp_MU21_A,Dimethylsulfonioacetate,386192320,KM1906
220628_Smp_MU21_B,Dimethylsulfonioacetate,943639680,KM1906
220628_Smp_MU21_C,Dimethylsulfonioacetate,567773120,KM1906
220628_Smp_MU22_A,Dimethylsulfonioacetate,361557536,KM1906
220628_Smp_MU22_B,Dimethylsulfonioacetate,731025984,KM1906
220628_Smp_MU22_C,Dimethylsulfonioacetate,481640576,KM1906
220628_Smp_MU23_A,Dimethylsulfonioacetate,675852928,KM1906
220628_Smp_MU23_B,Dimethylsulfonioacetate,613035072,KM1906
220628_Smp_MU23_C,Dimethylsulfonioacetate,702897600,KM1906
220628_Smp_MU24_A,Dimethylsulfonioacetate,355670432,KM1906
220628_Smp_MU24_B,Dimethylsulfonioacetate,564573184,KM1906
220628_Smp_MU24_C,Dimethylsulfonioacetate,484641024,KM1906
220628_Smp_MU3_A,Dimethylsulfonioacetate,287530976,KM1906
220628_Smp_MU3_B,Dimethylsulfonioacetate,519098592,KM1906
220628_Smp_MU3_C,Dimethylsulfonioacetate,382913216,KM1906
220628_Smp_MU4_A,Dimethylsulfonioacetate,477400576,KM1906
220628_Smp_MU4_B,Dimethylsulfonioacetate,907997184,KM1906
220628_Smp_MU4_C,Dimethylsulfonioacetate,724865024,KM1906
220628_Smp_MU5_A,Dimethylsulfonioacetate,361888192,KM1906
220628_Smp_MU5_B,Dimethylsulfonioacetate,686512704,KM1906
220628_Smp_MU5_C,Dimethylsulfonioacetate,387326656,KM1906
220628_Smp_MU6_A,Dimethylsulfonioacetate,500781472,KM1906
220628_Smp_MU6_B,Dimethylsulfonioacetate,625533696,KM1906
220628_Smp_MU6_C,Dimethylsulfonioacetate,396831968,KM1906
220628_Smp_MU7_A,Dimethylsulfonioacetate,481751936,KM1906
