SampID,Batch,Organism,Compound,Area,min.area.flag,blk.flag,smp.remove
220111_Smp_SA16_A_pos,Bacteria,SA16,Dimethylsulfoniopropionate,859303,NA,NA,NA
220111_Smp_SA16_B_pos,Bacteria,SA16,Dimethylsulfoniopropionate,637153,NA,NA,NA
220111_Smp_SA16_C_pos,Bacteria,SA16,Dimethylsulfoniopropionate,622752,NA,NA,NA
220111_Smp_SA36_A_pos,Bacteria,SA36,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA36_B_pos,Bacteria,SA36,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA36_C_pos,Bacteria,SA36,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA42_A_pos,Bacteria,SA42,Dimethylsulfoniopropionate,268200944,NA,NA,NA
220111_Smp_SA44_B_pos,Bacteria,SA44,Dimethylsulfoniopropionate,45527,NA,NA,NA
220111_Smp_SA44_C_pos,Bacteria,SA44,Dimethylsulfoniopropionate,0,Flag,NA,Smp_Remove
220111_Smp_SA48_A_pos,Bacteria,SA48,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_B_pos,Bacteria,SA48,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_C_pos,Bacteria,SA48,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_A_pos,Bacteria,SA53,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_B_pos,Bacteria,SA53,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_C_pos,Bacteria,SA53,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_A_pos,Bacteria,SA55,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_B_pos,Bacteria,SA55,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_C_pos,Bacteria,SA55,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_A_pos,Bacteria,SA59,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_B_pos,Bacteria,SA59,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_C_pos,Bacteria,SA59,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA60_A_pos,Bacteria,SA60,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA60_B_pos,Bacteria,SA60,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_Exp1_pos,Bacteria,Nmar,Dimethylsulfoniopropionate,0,Flag,NA,Smp_Remove
220111_Smp_SCM1_Exp2_pos,Bacteria,Nmar,Dimethylsulfoniopropionate,0,Flag,NA,Smp_Remove
220111_Smp_SCM1_Exp3_pos,Bacteria,Nmar,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St1_pos,Bacteria,Nmar,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St2_pos,Bacteria,Nmar,Dimethylsulfoniopropionate,146851,NA,NA,NA
220111_Smp_SCM1_St3_pos,Bacteria,Nmar,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St4_pos,Bacteria,Nmar,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_A_pos,Bacteria,DSS3,Glycine betaine,1117720448,NA,NA,NA
220111_Smp_DSS3_B_pos,Bacteria,DSS3,Glycine betaine,1207003648,NA,NA,NA
220111_Smp_DSS3_C_pos,Bacteria,DSS3,Glycine betaine,974537152,NA,NA,NA
220111_Smp_Och_A_pos,Bacteria,OCh114,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_Och_B_pos,Bacteria,OCh114,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_Och_C_pos,Bacteria,OCh114,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA7_A_pos,Bacteria,SA7,Glycine betaine,396224448,NA,NA,NA
220111_Smp_SA7_B_pos,Bacteria,SA7,Glycine betaine,696945088,NA,NA,NA
220111_Smp_SA7_C_pos,Bacteria,SA7,Glycine betaine,303200608,NA,NA,NA
220111_Smp_SA11_A_pos,Bacteria,SA11,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA11_B_pos,Bacteria,SA11,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA11_C_pos,Bacteria,SA11,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA16_A_pos,Bacteria,SA16,Glycine betaine,208842032,NA,NA,NA
220111_Smp_SA16_B_pos,Bacteria,SA16,Glycine betaine,211861824,NA,NA,NA
220111_Smp_SA16_C_pos,Bacteria,SA16,Glycine betaine,196305456,NA,NA,NA
220111_Smp_SA36_A_pos,Bacteria,SA36,Glycine betaine,231300832,NA,NA,NA
220111_Smp_SA36_B_pos,Bacteria,SA36,Glycine betaine,256981648,NA,NA,NA
220111_Smp_SA36_C_pos,Bacteria,SA36,Glycine betaine,244863040,NA,NA,NA
220111_Smp_SA42_A_pos,Bacteria,SA42,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA44_B_pos,Bacteria,SA44,Glycine betaine,295314304,NA,NA,NA
220111_Smp_SA44_C_pos,Bacteria,SA44,Glycine betaine,312232896,NA,NA,NA
220111_Smp_SA48_A_pos,Bacteria,SA48,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA48_B_pos,Bacteria,SA48,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA48_C_pos,Bacteria,SA48,Glycine betaine,23133964,NA,Flag,Smp_Remove
220111_Smp_SA53_A_pos,Bacteria,SA53,Glycine betaine,176763872,NA,NA,NA
220111_Smp_SA53_B_pos,Bacteria,SA53,Glycine betaine,205155056,NA,NA,NA
220111_Smp_SA53_C_pos,Bacteria,SA53,Glycine betaine,202899008,NA,NA,NA
