Part.Rep,SampID,replicate,Cruise,Diss.Rep
220902_Smp_TN397_S3_U_B,S3,B,TN397,220602_Smp_TN397_S3_U_B
220902_Smp_TN397_S3_U_C,S3,C,TN397,220602_Smp_TN397_S3_U_C
220902_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,220602_Smp_TN397_S4_2400_U_A
220902_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,220602_Smp_TN397_S4_2400_U_B
220902_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,220602_Smp_TN397_S4_2400_U_C
220902_Smp_TN397_S4_U_600_A,S4_600,A,TN397,220602_Smp_TN397_S4_U_600_A
220902_Smp_TN397_S4_U_600_B,S4_600,B,TN397,220602_Smp_TN397_S4_U_600_B
220902_Smp_TN397_S4_U_600_C,S4_600,C,TN397,220602_Smp_TN397_S4_U_600_C
220902_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,220602_Smp_TN397_S4_U_1800_A
220902_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,220602_Smp_TN397_S4_U_1800_B
220902_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,220602_Smp_TN397_S4_U_1800_C
220902_Smp_TN397_S6_U_A,S6,A,TN397,220602_Smp_TN397_S6_U_A
220902_Smp_TN397_S6_U_B,S6,B,TN397,220602_Smp_TN397_S6_U_B
220902_Smp_TN397_S6_U_C,S6,C,TN397,220602_Smp_TN397_S6_U_C
220902_Smp_TN397_S7_600_U_A,S7_600,A,TN397,220602_Smp_TN397_S7_600_U_A
220902_Smp_TN397_S7_600_U_B,S7_600,B,TN397,220602_Smp_TN397_S7_600_U_B
220902_Smp_TN397_S7_600_U_C,S7_600,C,TN397,220602_Smp_TN397_S7_600_U_C
220902_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,220602_Smp_TN397_S7_1800_U_A
220902_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,220602_Smp_TN397_S7_1800_U_B
220902_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,220602_Smp_TN397_S7_1800_U_C
220902_Smp_TN397_S8_U_A,S8,A,TN397,220602_Smp_TN397_S8_U_A
220902_Smp_TN397_S8_U_B,S8,B,TN397,220602_Smp_TN397_S8_U_B
220902_Smp_TN397_S8_U_C,S8,C,TN397,220602_Smp_TN397_S8_U_C
220902_Smp_TN397_S9_600_U_A,S9_600,A,TN397,220602_Smp_TN397_S9_600_U_A
