time,sst,sss,lat,lon,chla,N_N,pp_13c,chla_interp,N_N_interp,pp_13c_interp
2023-01-30T21:00:00Z,24.247166601816815,33.90066630045573,15.917249902089438,-140.00532073974608,0.15906207680353196,NA,NA,0.15906207680353196,0.03026789536938348,7.189665266961388
2023-01-30T22:00:00Z,24.27616720199585,33.87633285522461,15.71534498532613,-140.0041046142578,0.18161662487148447,NA,NA,0.18161662487148447,0.036599293928399654,7.481251671903764
2023-01-30T23:00:00Z,24.27916685740153,33.89066689809164,15.500910011927287,-140.00227279663085,0.16861434687623353,NA,NA,0.16861434687623353,0.043249016821476576,7.783046379543123
2023-01-31T00:00:00Z,24.315332921346027,33.82783368428548,15.289335012435913,-140.0016237894694,0.22024600128299696,NA,NA,0.22024600128299696,0.0501568024476279,8.091313717506242
2023-01-31T01:00:00Z,24.321499729156493,33.80416679382324,15.08577502568563,-139.99837315877278,0.2159981538063287,NA,NA,0.2159981538063287,0.05727669707339702,8.402638694774614
2023-01-31T02:00:00Z,24.342000198364257,33.802499771118164,14.863721656799317,-139.99532267252604,0.2153547083229922,NA,NA,0.2153547083229922,0.06457304638075512,8.713893314325249
2023-01-31T03:00:00Z,24.39766642252604,33.81900011698405,14.649148321151733,-140.0029505411784,0.1854547588296978,NA,NA,0.1854547588296978,0.07201776310963857,9.02220704498803
2023-01-31T04:00:00Z,24.4248335202535,33.793166160583496,14.43895502090454,-140.00316162109374,0.136496217512022,0.07958842072170816,NA,0.136496217512022,0.07958842072170816,9.324940865494234
2023-01-31T05:00:00Z,24.474666690826417,33.79633356730143,14.220144987106323,-139.9996358235677,0.16188037290410467,NA,NA,0.16188037290410467,0.08781352123855418,9.619664386507253
2023-01-31T06:00:00Z,24.573333390553792,33.86483376820882,14.013483413060506,-140.00176467895508,0.15991946223309897,NA,NA,0.15991946223309897,0.09721259063632978,9.904135633052967
2023-01-31T07:00:00Z,24.534500122070312,33.882832845052086,13.812683391571044,-140.00026499430336,0.17834684310288548,NA,NA,0.17834684310288548,0.10775002065057997,10.176283133281936
2023-01-31T08:00:00Z,24.653832976023356,34.06983331044515,13.602006594340006,-140.0024319966634,0.155876430735864,NA,NA,0.155876430735864,0.11938551399896546,10.434190012344754
2023-01-31T09:00:00Z,24.585833422342937,33.999833043416345,13.396415074666342,-140.00101674397786,0.15480101169592655,NA,NA,0.15480101169592655,0.13207328627454504,10.676079834299147
2023-01-31T10:00:00Z,24.588666661580405,34.032999992370605,13.192091608047486,-139.99856923421225,0.16789747950447292,NA,NA,0.16789747950447292,0.14576109908165452,10.900303971959827
2023-01-31T11:00:00Z,24.75899991989136,34.22866643269857,12.977031675974528,-140.0000015258789,0.17043175386400145,NA,NA,0.17043175386400145,0.1603890812631956,11.105330315711837
2023-01-31T12:00:00Z,24.895499801635744,34.32550080617269,12.77201000849406,-140.00146408081054,0.1768813542449103,NA,NA,0.1768813542449103,0.1758882819800751,11.289733158556755
2023-01-31T13:00:00Z,24.938333225250243,34.30016663869222,12.571716753641764,-140.00088628133136,0.18421111969393153,NA,NA,0.18421111969393153,0.19217888167354727,11.452184116878225
2023-01-31T14:00:00Z,24.980666224161784,34.29266618092855,12.388444979985554,-140.0037821451823,0.1871989784647376,NA,11.591443965275152,0.1871989784647376,0.2091679626650047,11.591443965275152
2023-01-31T15:00:00Z,24.947167046864827,34.27999877929688,12.36149978637695,-140.00366821289063,0.19020441463892884,NA,NA,0.19020441463892884,0.22674670752492185,11.718440655191255
