Exp,Treatment,Samp_ID,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,Local_Date,Cruise
UKH2,0nM,TN397_UKH2_0nM_B,2,2021-11-28T13:11:00Z,2021-11-28T13:42:00Z,2021-11-28T13:51:00Z,28/11/2021,TN397
UKH2,0nM,TN397_UKH2_0nM_C,2,2021-11-28T13:11:00Z,2021-11-28T13:42:00Z,2021-11-28T13:55:00Z,28/11/2021,TN397
UKH2,2nM,TN397_UKH2_2nM_A,2,2021-11-28T13:11:00Z,2021-11-28T13:42:00Z,2021-11-28T13:52:00Z,28/11/2021,TN397
UKH2,2nM,TN397_UKH2_2nM_B,2,2021-11-28T13:11:00Z,2021-11-28T13:42:00Z,2021-11-28T13:52:00Z,28/11/2021,TN397
UKH2,2nM,TN397_UKH2_2nM_C,2,2021-11-28T13:11:00Z,2021-11-28T13:42:00Z,2021-11-28T13:53:00Z,28/11/2021,TN397
UKH2,5nM,TN397_UKH2_5nM_A,2,2021-11-28T13:37:00Z,2021-11-28T14:10:00Z,2021-11-28T14:22:00Z,28/11/2021,TN397
UKH2,5nM,TN397_UKH2_5nM_B,2,2021-11-28T13:37:00Z,2021-11-28T14:10:00Z,2021-11-28T14:22:00Z,28/11/2021,TN397
UKH2,5nM,TN397_UKH2_5nM_C,2,2021-11-28T13:37:00Z,2021-11-28T14:10:00Z,2021-11-28T14:25:00Z,28/11/2021,TN397
UKH2,10nM,TN397_UKH2_10nM_A,2,2021-11-28T13:50:00Z,2021-11-28T14:23:00Z,2021-11-28T14:32:00Z,28/11/2021,TN397
UKH2,10nM,TN397_UKH2_10nM_B,2,2021-11-28T13:50:00Z,2021-11-28T14:23:00Z,2021-11-28T14:34:00Z,28/11/2021,TN397
UKH2,10nM,TN397_UKH2_10nM_C,2,2021-11-28T13:50:00Z,2021-11-28T14:23:00Z,2021-11-28T14:33:00Z,28/11/2021,TN397
UKH2,50nM,TN397_UKH2_50nM_A,2,2021-11-28T14:13:00Z,2021-11-28T14:45:00Z,2021-11-28T14:50:00Z,28/11/2021,TN397
UKH2,50nM,TN397_UKH2_50nM_B,2,2021-11-28T14:13:00Z,2021-11-28T14:45:00Z,2021-11-28T14:52:00Z,28/11/2021,TN397
UKH2,50nM,TN397_UKH2_50nM_C,2,2021-11-28T14:13:00Z,2021-11-28T14:45:00Z,2021-11-28T14:57:00Z,28/11/2021,TN397
UKH2,200nM,TN397_UKH2_200nM_A,2,2021-11-28T14:29:00Z,2021-11-28T15:01:00Z,2021-11-28T15:11:00Z,28/11/2021,TN397
UKH2,200nM,TN397_UKH2_200nM_B,2,2021-11-28T14:29:00Z,2021-11-28T15:01:00Z,2021-11-28T15:12:00Z,28/11/2021,TN397
UKH2,200nM,TN397_UKH2_200nM_C,2,2021-11-28T14:29:00Z,2021-11-28T15:01:00Z,2021-11-28T15:12:00Z,28/11/2021,TN397
UKH2,1000nM,TN397_UKH2_1000nM_A,2,2021-11-28T14:45:00Z,2021-11-28T15:16:00Z,2021-11-28T15:24:00Z,28/11/2021,TN397
UKH2,1000nM,TN397_UKH2_1000nM_B,2,2021-11-28T14:45:00Z,2021-11-28T15:16:00Z,2021-11-28T15:25:00Z,28/11/2021,TN397
UKH2,1000nM,TN397_UKH2_1000nM_C,2,2021-11-28T14:45:00Z,2021-11-28T15:16:00Z,2021-11-28T15:26:00Z,28/11/2021,TN397
UKH2,0nM_Blk,TN397_UKH2_0nM_Blk,NA,NA,NA,NA,28/11/2021,TN397
UKH2,5nM_Blk,TN397_UKH2_5nM_Blk,NA,NA,NA,NA,28/11/2021,TN397
UKH2,50nM_Blk,TN397_UKH2_50nM_Blk,NA,NA,NA,NA,28/11/2021,TN397
UKH2,1000nM_Blk,TN397_UKH2_1000nM_Blk,NA,NA,NA,NA,28/11/2021,TN397
UKT2,0nM,TN397_UKT2_0nM_A,2,2021-11-30T13:10:00Z,2021-11-30T13:40:00Z,2021-11-30T13:48:00Z,30/11/2021,TN397
UKT2,0nM,TN397_UKT2_0nM_B,2,2021-11-30T13:10:00Z,2021-11-30T13:40:00Z,2021-11-30T13:49:00Z,30/11/2021,TN397
