Cruise,exp,Compound,Mean.Diss.Conc.nM,SD.Diss.Conc.nM
RC104,UKH1,Homarine,4.10233899264348,1.3976235970254403
RC104,UKH1,Proline betaine,0.0255043964394104,0.009182194487997121
RC104,UKH1,Trigonelline,0.40211833072621717,0.044627376584307106
RC104,UKH1,Trimethylamine N-oxide,1.93279172151194,0.07261593946836396
RC104,UKH1,beta-Alaninebetaine,1.4037177378832573,0.10441678732710583
TN397,UKH1,Betonicine,0.04420186172292446,0.004198891539310999
TN397,UKH1,Dimethylsulfonioacetate,0.41172099308879373,0.026233531433626535
TN397,UKH1,Dimethylsulfoniopropionate,4.152063321197144,1.0131642573878135
TN397,UKH1,Glycine betaine,0.9644041120613204,0.37459682419667967
TN397,UKH1,Gonyol,2.1897858410465023,1.8964458793269265
TN397,UKH1,Homarine,0.05927419049017598,0.025040213590537153
TN397,UKH1,Proline betaine,0.015435810886876887,0.0019310053167943264
TN397,UKH1,Trigonelline,0.07586328090553365,0.04219349889894117
TN397,UKH1,Trimethylamine N-oxide,0.6393703724187332,0.17921743097157283
TN397,UKH1,beta-Alaninebetaine,0.6116446229428016,0.14707810582372105
TN397,UKH2,Betonicine,0.04105946300753136,0.002984129163458063
TN397,UKH2,Dimethylsulfonioacetate,0.31916502294817567,0.07126732880479236
TN397,UKH2,Dimethylsulfoniopropionate,4.10468173743413,1.615390229682993
TN397,UKH2,Glycine betaine,1.1616612241403619,0.767526272679655
TN397,UKH2,Gonyol,2.2383255806607414,0.30992789798136877
TN397,UKH2,Homarine,0.18598905783450198,0.07213310051456506
TN397,UKH2,Proline betaine,0.02291750950269832,0.005865402608681502
TN397,UKH2,Trigonelline,0.06440013505714767,0.026048114868442097
TN397,UKH2,Trimethylamine N-oxide,4.512732438933457,3.023331930028984
TN397,UKH2,beta-Alaninebetaine,0.8184255686110662,0.09066644932932297
TN397,UKH3,Betonicine,0.06678990959388564,0.008665356290183534
TN397,UKH3,Dimethylsulfonioacetate,0.2959394172782302,0.049481157346220654
TN397,UKH3,Dimethylsulfoniopropionate,6.832687591464609,3.815411566056086
TN397,UKH3,Glycine betaine,6.003406325044379,0.9268259823501468
TN397,UKH3,Gonyol,3.99008610926266,0.6975965726916035
TN397,UKH3,Homarine,0.3867120226799825,0.11371992632312483
TN397,UKH3,Proline betaine,0.0284500693525071,0.00188807036840139
TN397,UKH3,Trigonelline,0.0976115958804683,0.02113456535279095
TN397,UKH3,Trimethylamine N-oxide,5.075120298294939,1.9531699405468224
