Rep,Compound,Area,Cruise
220623_Smp_MU16_A,Dimethylsulfonioacetate,27161298,KM1906
220623_Smp_MU16_B,Dimethylsulfonioacetate,24498492,KM1906
220623_Smp_MU16_C,Dimethylsulfonioacetate,19383210,KM1906
220623_Smp_MU17_A,Dimethylsulfonioacetate,37629000,KM1906
220623_Smp_MU17_B,Dimethylsulfonioacetate,39169732,KM1906
220623_Smp_MU2_A,Dimethylsulfonioacetate,4738983,KM1906
220623_Smp_MU2_B,Dimethylsulfonioacetate,5004493,KM1906
220623_Smp_MU2_C,Dimethylsulfonioacetate,6712270,KM1906
220623_Smp_MU3_A,Dimethylsulfonioacetate,6062338,KM1906
220623_Smp_MU3_B,Dimethylsulfonioacetate,6844422,KM1906
220623_Smp_MU3_C,Dimethylsulfonioacetate,9605039,KM1906
220623_Smp_MU4_A,Dimethylsulfonioacetate,7251128,KM1906
220623_Smp_MU4_B,Dimethylsulfonioacetate,7858063,KM1906
220623_Smp_MU4_C,Dimethylsulfonioacetate,7248350,KM1906
220623_Smp_MU5_A,Dimethylsulfonioacetate,7365757,KM1906
220623_Smp_MU5_B,Dimethylsulfonioacetate,7346899,KM1906
220623_Smp_MU5_C,Dimethylsulfonioacetate,10326469,KM1906
220623_Smp_MU6_A,Dimethylsulfonioacetate,10652256,KM1906
220623_Smp_MU6_B,Dimethylsulfonioacetate,11817911,KM1906
220623_Smp_MU6_C,Dimethylsulfonioacetate,11006734,KM1906
220623_Smp_MU7_A,Dimethylsulfonioacetate,10668275,KM1906
220623_Smp_MU7_B,Dimethylsulfonioacetate,14819323,KM1906
220623_Smp_MU7_C,Dimethylsulfonioacetate,13252988,KM1906
220623_Smp_MU8_A,Dimethylsulfonioacetate,15270718,KM1906
220623_Smp_MU8_B,Dimethylsulfonioacetate,17356734,KM1906
220623_Smp_MU8_C,Dimethylsulfonioacetate,15016126,KM1906
220623_Smp_MU9_A,Dimethylsulfonioacetate,11327660,KM1906
220623_Smp_MU9_B,Dimethylsulfonioacetate,13441413,KM1906
220623_Smp_MU9_C,Dimethylsulfonioacetate,13019795,KM1906
220623_Std_4uMStdsMix1InH2O_1,Dimethylsulfoniopropionate,10963,KM1906
220623_Std_4uMStdsMix1InH2O_2,Dimethylsulfoniopropionate,NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Dimethylsulfoniopropionate,40843140,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Dimethylsulfoniopropionate,45087284,KM1906
220623_Std_4uMStdsMix2InH2O_1,Dimethylsulfoniopropionate,1007944448,KM1906
220623_Std_4uMStdsMix2InH2O_2,Dimethylsulfoniopropionate,1365061376,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Dimethylsulfoniopropionate,1080469888,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Dimethylsulfoniopropionate,1445079424,KM1906
220623_Std_H2OinMatrix_1,Dimethylsulfoniopropionate,41672964,KM1906
220623_Std_H2OinMatrix_2,Dimethylsulfoniopropionate,45257492,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Dimethylsulfoniopropionate,80663352,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Dimethylsulfoniopropionate,75165408,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Dimethylsulfoniopropionate,81782128,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Dimethylsulfoniopropionate,33810864,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Dimethylsulfoniopropionate,39822768,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Dimethylsulfoniopropionate,42238616,KM1906
220623_Smp_CXSPE_Blk1_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk1_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk1_C,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk2_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk2_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk2_C,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk3_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk3_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk3_C,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk4_A,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk4_B,Dimethylsulfoniopropionate,0,KM1906
220623_Smp_CXSPE_Blk4_C,Dimethylsulfoniopropionate,0,KM1906
