sample_id,analyte_short,concentration,units,sample_fration,sample_type,analyte_long,station,cast,depth_m,parent_id,collection_timestamp_UTC
S6_C1_D2_C,PO4,0.359801043,umol/L,dissolved,nutrients,phosphate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,Si(OH)4,11.15401161,umol/L,dissolved,nutrients,silicate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,NO3,0.669713395,umol/L,dissolved,nutrients,nitrate,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,NO2,0.053636215,umol/L,dissolved,nutrients,nitrite,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D2_C,NH4,0.871763344,umol/L,dissolved,nutrients,ammonium,6,1,4,S6_C1_D2,2022-06-08T00:00:00Z
S6_C1_D1_A,PO4,0.642274522,umol/L,dissolved,nutrients,phosphate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,Si(OH)4,13.99464234,umol/L,dissolved,nutrients,silicate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,NO3,2.234434623,umol/L,dissolved,nutrients,nitrate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,NO2,0.079527739,umol/L,dissolved,nutrients,nitrite,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_A,NH4,2.480434787,umol/L,dissolved,nutrients,ammonium,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,PO4,0.536178628,umol/L,dissolved,nutrients,phosphate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,Si(OH)4,9.862020672,umol/L,dissolved,nutrients,silicate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,NO3,1.506070563,umol/L,dissolved,nutrients,nitrate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,NO2,0.066201039,umol/L,dissolved,nutrients,nitrite,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_B,NH4,1.861759907,umol/L,dissolved,nutrients,ammonium,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,PO4,0.511540151,umol/L,dissolved,nutrients,phosphate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,Si(OH)4,11.20624613,umol/L,dissolved,nutrients,silicate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,NO3,0.981018795,umol/L,dissolved,nutrients,nitrate,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
S6_C1_D1_C,NO2,0.063342177,umol/L,dissolved,nutrients,nitrite,6,1,8,S6_C1_D1,2022-06-08T00:00:00Z
