numbered,parent_id,sample_id,am_sample_id,vol_l,c_counts,c_mol,c_mol_l,h_counts,h_mol,h_mol_l,n_counts,n_mol,n_mol_l,station,depth_m,cast,sample_type,local_date,collection_timestamp_utc,vol_filt_l,approximate_salinity,lat_n,long_w,notes,x12
29,S2_C1_SRF,S2_C1_SRF_A,Susan C5,1,2767,1.0030646368079324e-5,1.0030646368079324e-5,8277,1.0163044321706272e-4,1.0163044321706272e-4,191,7.312283906200887e-6,7.312283906200887e-6,2,3,1,POCPN,2022-06-03T00:00:00Z,2022-06-04T02:27:00Z,1,30,NA,NA,NA,NA
30,S5_C3_D2,S5_C3_D2_A,C6,1,18023,6.556330770577942e-5,6.556330770577942e-5,14416,1.8633258181119432e-4,1.8633258181119432e-4,1329,1.3406580706027105e-5,1.3406580706027105e-5,5,9,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,29.4,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
31,Blk,Blk5,C7,0.25,696,2.465451011349113e-6,9.861804045396452e-6,2466,2.350953265490508e-5,9.403813061962031e-5,58,1.691504748312511e-6,6.766018993250044e-6,NA,0,NA,POCPN,2022-06-08T00:00:00Z,2022-06-09T03:08:00Z,0.25,NA,NA,NA,NA,NA
32,S7_C3_D5,S7_C3_D5_C,C8,0.6,15065,5.479147991665696e-5,9.131913319442828e-5,143324,0.00194275045801528,0.00323791743002548,939,1.3978038920452694e-4,2.3296731534087824e-4,7,6,3,POCPN,2022-06-08T00:00:00Z,2022-06-08T18:30:00Z,0.6,28.8,NA,NA,NA,NA
33,Blk,Blk4,C9,0.25,781,2.774986292645735e-6,1.109994517058294e-5,2467,2.3523158014667115e-5,9.409263205866846e-5,57,1.6924850893968389e-6,6.769940357587355e-6,NA,0,NA,POCPN,2022-06-08T00:00:00Z,2022-06-09T03:08:00Z,0.25,NA,NA,NA,NA,NA
34,UNT2,UNT2-C,C10,0.6,10496,3.815304814907734e-5,6.358841358179558e-5,10436,1.3210364995830468e-4,2.201727499305078e-4,777,9.504823190403332e-6,1.5841371984005555e-5,NA,0,NA,POCPN,2022-06-09T00:00:00Z,2022-06-09T13:40:00Z,0.6,28,NA,NA,NA,NA
35,S5_C3_D3,S5_C3_D3_A,C11,1,17400,6.329459617345241e-5,6.329459617345241e-5,14946,1.935540224850716e-4,1.935540224850716e-4,1247,1.3926161480720722e-5,1.3926161480720722e-5,5,4,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,28.75,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
36,S6_C1_D1,S6_C1_D1_B,C12,0.6,12963,4.713685448976872e-5,7.856142414961454e-5,11359,1.4467985701866075e-4,2.4113309503110127e-4,662,1.040967801123769e-5,1.734946335206282e-5,6,8,1,POCPN,2022-06-07T00:00:00Z,2022-06-08T00:07:00Z,0.6,25,NA,NA,NA,NA
37,S6_C2_D4,S6_C2_D4_A,D1,0.25,1237,4.435552037013497e-6,1.774220814805399e-5,7658,9.42524005393782e-5,3.770096021575128e-4,90,6.781435658141313e-6,2.712574263256525e-5,6,28,2,POCPN,2022-06-07T00:00:00Z,2022-06-07T22:06:00Z,0.25,28.7,NA,NA,NA,NA
38,S2_C4_D5,S2_C4_D5_C,D2,1.5,3742,1.3557738856402192e-5,9.038492570934796e-6,9514,1.1954106825771064e-4,7.969404550514043e-5,285,8.600948710653301e-6,5.733965807102201e-6,2,15,4,POCPN,2022-06-04T00:00:00Z,2022-06-04T18:20:00Z,1.5,30,NA,NA,NA,NA
39,S3_C2_D4,S3_C2_D4_C,D3,1,3203,1.1594921013827144e-5,1.1594921013827144e-5,8076,9.99478009199078e-5,9.99478009199078e-5,216,7.19121823139024e-6,7.19121823139024e-6,3,4,2,POCPN,2022-06-05T00:00:00Z,2022-06-05T18:33:00Z,1,30,NA,NA,NA,NA
40,S2_C4_D6,S2_C4_D6_C,D4,1.5,4344,1.5749976966291213e-5,1.0499984644194144e-5,10319,1.3050948286614692e-4,8.700632191076462e-5,308,9.390123283537008e-6,6.260082189024672e-6,2,4,4,POCPN,2022-06-04T00:00:00Z,2022-06-04T18:20:00Z,1.5,30,NA,NA,NA,NA
41,UNT2,UNT2-A,D5,0.6,10906,3.964610068239046e-5,6.607683447065076e-5,11349,1.4454360342104e-4,2.4090600570173408e-4,801,1.0399874600394414e-5,1.7333124333990692e-5,NA,0,NA,POCPN,2022-06-09T00:00:00Z,2022-06-09T13:40:00Z,0.6,28,NA,NA,NA,NA
42,S7_C2_D3,S7_C2_D3_B,D6,0.6,3801,1.3772592757537491e-5,2.295432126256249e-5,7682,9.457940917366696e-5,1.576323486227783e-4,275,6.804963844165173e-6,1.1341606406941956e-5,7,30,2,POCPN,2022-06-08T00:00:00Z,2022-06-08T17:20:00Z,0.6,28.9,NA,NA,NA,NA
43,S2_C9_D1,S2_C9_D1_A,D7,1,4319,1.565893717767456e-5,1.565893717767456e-5,8659,1.078913856611728e-4,1.078913856611728e-4,304,7.762757083553219e-6,7.762757083553219e-6,2,10,9,POCPN,2022-06-06T00:00:00Z,2022-06-06T13:50:00Z,1,29.9,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
44,S6_C2_D3,S6_C2_D3_A,D8,0.25,2610,9.435457227840117e-6,3.7741828911360466e-5,8267,1.0255024463445604e-4,4.1020097853782417e-4,189,7.378463378496809e-6,2.9513853513987236e-5,6,50,2,POCPN,2022-06-07T00:00:00Z,2022-06-07T22:06:00Z,0.25,28.8,NA,NA,NA,NA
45,S2_C2_D2,S2_C2_D2_A,D9,1.5,7282,2.644897292452035e-5,1.7632648616346898e-5,8685,1.0824564501498e-4,7.216376334332377e-5,455,7.788245951745738e-6,5.1921639678304915e-6,2,65,2,POCPN,2022-06-04T00:00:00Z,2022-06-04T13:31:00Z,1.5,32,NA,NA,NA,NA
46,NA,S1_C1_5m_DCM_B,D10,0.2,2632,9.515572241822773e-6,4.757786120911385e-5,7375,9.039642372672296e-5,4.519821186336149e-4,198,6.5039991312766065e-6,3.251999565638303e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,S5_C3_D3,S5_C3_D3_C,D11,1,8890,3.2304652128343514e-5,3.2304652128343514e-5,9918,1.250457136015718e-4,1.250457136015718e-4,525,8.997006508721644e-6,8.997006508721644e-6,5,4,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,28.75,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
48,S3_C1_D2,S3_C1_D2_A,D12,1,14344,5.216589241295267e-5,5.216589241295267e-5,13337,1.716308186279612e-4,1.716308186279612e-4,958,1.2348792676037643e-5,1.2348792676037643e-5,3,100,1,POCPN,2022-06-05T00:00:00Z,2022-06-05T16:40:00Z,1,31.7,NA,NA,NA,NA
49,S6_C1_D1,S6_C1_D1_A,E1,0.6,921,3.2848091088989953e-6,5.474681848164992e-6,7235,8.848887336003842e-5,1.4748145560006403e-4,72,6.366751379470745e-6,1.0611252299117908e-5,6,8,1,POCPN,2022-06-07T00:00:00Z,2022-06-08T00:07:00Z,0.6,25,NA,NA,NA,NA
